"original_index","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
2,0.151135531804704,-0.324874687238038,0.0280395169435365,0.367010776622793,0.417417868135134,0.169838459974283,-0.41444232131114,0.364281188251908,-0.110359821556075,0.406948240821449,0.510019894292982,-0.107866438407298,0.148307630450553,0.143132803190848,0.0966409168696799,0.493586634097236,0.113815340326758,0.347523751338954,-0.172046505543759
3,-0.0769081481018628,0.244833454187691,-0.119853773680394,0.425431492109436,0.0312174622242671,-0.328955997466416,-0.206257577339904,-0.363266156782867,0.427249087906502,-0.048386422536388,0.26519328154127,-0.0125893821537714,0.0892278453544416,0.0501045545729712,0.437090136072157,-0.69401589464864,0.0880443590862009,0.368938101233524,0.0951345486290912
4,0.280466731225437,-0.107111781275842,0.534432769357324,0.324370084131261,0.826010291671235,0.609123126136228,-0.726411208465245,0.0138602436400739,0.189373577501668,0.23808785963556,0.649979696833927,0.594131799710054,-0.164671584075128,0.496675684373112,0.276362793628711,0.0478419959002896,-0.169456167521696,0.200641324887928,-0.531161001785975
5,0.23631509633006,-0.269978835583943,0.273013120980614,-0.174390229986587,-0.351453300402445,-0.398875340796716,0.658507660623073,-0.16631009652464,0.408856079561795,-0.0372559598389663,0.314537850309553,-0.148911195189652,0.269116278821868,-0.165661209546891,0.0281899152464636,0.545381993477199,-0.0928313216195965,0.490218036283594,-0.293032591122805
9,-0.078799101786675,0.321690108146731,-0.159656771821897,-0.0730038691465436,-2.32746976079597,-0.15139049647452,0.552273645022487,-0.0835679102868509,-0.228606419623193,-0.078431930271099,-0.0211801428643554,0.150750135637365,-0.0777542660210704,-0.188672400401042,-0.0298768501939658,-0.57559894996416,-0.0258964468467774,-0.391091271797046,-0.347993306794482
10,-0.172835212343174,-0.329446724021908,-0.400920892103665,-0.282535517566927,-0.184058206743099,-0.260226830760332,-0.238856748314355,0.0551437795155329,-0.0752976719662795,-0.0895557957363948,-0.184908127936302,-0.327658534679517,0.064335931728649,-0.0844387920498934,-0.311874013901049,0.159224103398277,0.0397905770464763,0.231740704563953,-0.574826310803376
18,0.0289386322808784,-0.299497257123544,-0.19537252303219,-0.173431102002154,-1.75817385926223,-0.377964574085346,-0.808926920421563,-0.305419942195616,-0.188423011100868,-0.357143693414146,-0.270079900254297,0.0354492285540581,-0.249327813490942,-1.37398312605554,-0.196491415608677,-0.747892237175766,-0.416550110765408,-0.443619492777505,-0.07219578686123
21,-0.271434944712902,-0.414641917603365,-0.104696427259593,0.117473067333303,0.175955113941532,-0.506545980869531,-0.863866921432069,-0.311003877644839,-0.215828749579005,-0.463262745447899,-0.0743493994440411,-0.45314980978405,-0.334804832549929,-1.2377562368183,0.00526466796742327,-0.942948826613006,-0.227706517922551,-0.152750822430536,-0.358444593725518
22,-0.368021367045481,0.897342815805189,-0.482409113268407,0.0585969971196781,-3.77912067289562,-0.497045275686391,-1.25474668516262,0.103361709050662,-0.332230746811407,0.161801431776976,-0.705954726396125,-0.403761260461836,-0.366603325615607,0.151102763122926,-0.0463358755815681,-0.568648003096503,-0.363327716321041,-0.272371802361394,-0.125152384641288
29,-0.659964254260044,-0.621673156473778,-0.276081576998144,-0.414299380810893,-0.674848832198046,-0.54451054119557,-1.01890568461031,-0.483102653144055,-0.141566529067775,-0.442008693575176,-0.435061529606696,0.481142073044712,-0.0862470097087717,-0.666551984206727,-0.738577469212314,-0.530725277787608,-0.267839638509071,-0.50342324823378,0.873328274084674
30,-0.308317883447631,-0.534850529790048,-0.317458589540324,-0.430146556272615,-0.819950526764833,-0.761350648556584,-0.858957923450043,-0.324492974414687,-0.207529069028687,-0.16637286622588,-0.0654307499394738,-1.41627381305256,-0.272862265193958,-0.983589257098449,-0.29618485671527,-0.279960187163333,-0.320224582983214,-0.474536828012631,0.539583773062506
32,0.166128149398624,0.301425772653029,0.337388468060634,0.117428705198949,-0.494190649395649,-0.123869812013887,-1.46786743089385,0.144422206590422,0.105791358604497,0.0687538943642032,0.243798054330803,-0.264042558612797,-0.0771036425844612,-0.44008000131798,0.02934173456883,-0.317187635729283,-0.12527998464791,0.0720111069591283,-0.41686434354599
34,0.724334016561811,0.666064235775058,1.25927940272458,0.420620890440831,-1.1874160913794,0.856595785171338,0.0859522229071358,0.698297883902534,0.272839152030203,0.552008763548982,1.20204056886741,0.871087752391033,0.420710465172475,-0.0101770586555532,0.565827877410035,-0.0643098822031119,0.329759463605695,0.349432000885777,-0.310780079553741
