"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"360","0.36"
2,1,"340","0.34"
3,1,"813","0.813"
4,1,"56","0.056"
5,1,"571","0.571"
6,1,"159","0.159"
7,1,"920","0.92"
8,1,"311","0.311"
9,1,"364","0.364"
10,1,"799","0.799"
11,1,"876","0.876"
12,1,"65","0.065"
13,1,"641","0.641"
14,1,"254","0.254"
15,1,"321","0.321"
16,1,"818","0.818"
17,1,"703","0.703"
18,1,"252","0.252"
19,1,"809","0.809"
20,1,"325","0.325"
21,1,"577","0.577"
22,1,"547","0.547"
23,1,"844","0.844"
24,1,"525","0.525"
25,1,"354","0.354"
26,1,"299","0.299"
27,1,"59","0.059"
28,1,"242","0.242"
29,1,"375","0.375"
30,1,"408","0.408"
31,1,"82","0.082"
32,1,"405","0.405"
33,1,"803","0.803"
34,1,"68","0.068"
35,1,"248","0.248"
36,1,"60","0.06"
37,1,"786","0.786"
38,1,"918","0.918"
39,1,"916","0.916"
40,1,"467","0.467"
41,1,"113","0.113"
42,1,"265","0.265"
43,1,"309","0.309"
44,1,"115","0.115"
45,1,"557","0.557"
46,1,"832","0.832"
47,1,"682","0.682"
48,1,"835","0.835"
49,1,"851","0.851"
50,1,"234","0.234"
