"original_index","V2","V3","V4","V5"
3,-4.08316743207359,-3.77697876604658,-3.0858148704799,-2.54906012934788
6,-4.30763312048329,-4.54923712160158,-2.99562938525464,-2.62720553302678
8,-1.98159116165164,-1.42763948136867,-1.64342378658232,-0.897434318867635
11,-3.82719442471567,-3.48896058634031,-3.39821607819228,-2.28279035022287
14,-3.93481859206708,-1.78222028213755,-1.63440588427841,-2.28330918344848
16,-6.35235160662319,-5.00644651582967,-5.13954739509546,-4.09879907276362
18,-2.21583168555129,0.0134781859233916,-0.284350204623564,-1.27118339681248
19,0.0215779991625983,1.01034982943085,1.0584905767319,0.721043718884232
20,-2.50168158168973,-2.73739457397537,-1.32765329485915,-1.38922311482993
21,0.372828513805427,-1.45334864508734,-1.62800753418556,0.956125083109797
23,-2.24697149348016,-2.37968453366715,-2.6601528939328,-1.10042875403249
26,-6.07069394727878,-3.47848049513132,-2.98745749982429,-3.80302850202229
27,-6.48822161855221,-5.3894040484913,-6.34964687613773,-4.36630868629849
28,-5.43855969915894,-3.85711620688546,-4.37402546579894,-3.60756718831335
29,-1.02629241678114,-2.09006720941293,-0.779997889463162,-0.089339606737785
31,-1.79495628608632,-0.827049697158523,0.0699328559547428,-0.822033019990454
32,-3.42580706149196,-1.58639508833155,-1.51509592048638,-1.97688135033987
35,-3.44525621729695,-0.86000066040069,-2.11667800629071,-2.02581052999786
38,-2.35416470943793,-1.77834409506069,-1.40182184226349,-1.17382490787037
39,-1.10629248839471,-1.45221169387519,-0.751518280676974,-0.18659178236797
42,-6.09153144988548,-5.55447461472402,-5.25856937042442,-3.96412631862696
46,-1.91842710094155,-3.81984571254773,-2.68885420943942,-0.779648774256949
52,-2.75704315381193,-2.72048316603065,-2.6919058837551,-1.46284576871521
57,-4.35745588067339,-4.12049391145159,-4.46520478074604,-2.60738354739008
62,-3.88187704732352,-1.62226262847064,-2.8578517016285,-2.38280352441669
66,-4.86183885412662,-4.89379654035948,-4.37882119496508,-2.98820676183402
69,-3.1415777904928,-4.07289508357722,-3.29078319665966,-1.69215130821674
70,-4.24338419562093,-4.5977511869899,-3.98840249860868,-2.69054895313209
72,-5.0631742361599,-4.36914137194421,-5.01672903616249,-3.26491666051613
73,-5.06281467158789,-5.4618104285303,-4.87789290467156,-3.25629849974059
74,-1.53743791979333,-3.2007718139111,-2.94828269575408,-0.455780792196068
