simulation,permutation,lambda_pairs,threshold,predicted_changepoints
33,1,"15.84297951775486,0.18712437338018745;15.937377450509228,0.18601602578222792;15.329709716755891,0.19338967726796585;16.1245154965971,0.18385715932740243;15.84297951775486,0.18712437338018745;15.066519173319364,0.1967679183646423;15.620499351813308,0.18978955460798858;15.84297951775486,0.18712437338018745;16.278820596099706,0.18211439810604718;16.431676725154983,0.1804202738602174",0.036081623764583445,380;415
7,1,"15.264337522473747,0.1942179023734386;15.684387141358123,0.1890164778525299;15.811388300841896,0.18749824862483253;15.84297951775486,0.18712437338018745;16.09347693943108,0.18421175398532766;15.491933384829668,0.19136459866514058;15.491933384829668,0.19136459866514058;15.716233645501712,0.18863346534578596;15.132745950421556,0.19590678548676993;15.524174696260024,0.19096716397099261",0.19421247987567125,243
38,1,"14.38749456993816,0.20605447323187173;14.317821063276353,0.20705717732001253;14.628738838327793,0.2026564044583016;14.422205101855956,0.20555855320304064;14.422205101855956,0.20555855320304064;14.177446878757825,0.20910729837943642;14.52583904633395,0.2040920049629239;14.035668847618199,0.2112195469215637;14.106735979665885,0.2101554618310251;14.106735979665885,0.2101554618310251",0.425335342495171,288
20,1,"17.4928556845359,0.16947533714325475;17.320508075688775,0.17116170044088794;17.69180601295413,0.16756952979047499;17.776388834631177,0.16677220791657663;17.435595774162696,0.17003190789317268;17.291616465790582,0.1714476851022082;17.204650534085253,0.17231431750744633;17.175564037317667,0.17260612858441005;17.406895185529212,0.170312257478265;17.549928774784245,0.16892419637591768",0.38436014358084014,95
15,1,"15.491933384829668,0.19136459866514058;14.933184523068078,0.19852480963825475;15.132745950421556,0.19590678548676993;15.297058540778355,0.19380246253435435;15.264337522473747,0.1942179023734386;15.652475842498529,0.18940183294745763;15.198684153570664,0.19505686050055457;15.459624833740307,0.19176452511737727;14.866068747318506,0.1994210887306551;15.556349186104045,0.19057219526694635",0.1658621514405615,228
41,1,"17.291616465790582,0.1714476851022082;17.26267650163207,0.17173510807867706;17.320508075688775,0.17116170044088794;17.549928774784245,0.16892419637591768;17.146428199482248,0.1728994272302462;17.46424919657298,0.16975293820914836;17.549928774784245,0.16892419637591768;17.435595774162696,0.17003190789317268;17.320508075688775,0.17116170044088794;17.378147196982766,0.1705939983780172",0.14095577837349776,279
13,1,"14.798648586948742,0.20032961775641972;14.66287829861518,0.20218456120003475;14.89966442575134,0.19897143519630153;15.0,0.19764050764900148;14.730919862656235,0.20125067832664548;14.66287829861518,0.20218456120003475;15.165750888103101,0.1954804372436734;15.491933384829668,0.19136459866514058;14.832396974191326,0.1998738046111832;15.427248620541512,0.19216696947423417",0.2636714724927401,163
37,1,"19.1049731745428,0.15517465466454222;19.183326093250876,0.1545408549239038;19.026297590440446,0.1558163168973325;18.57417562100671,0.15960910864771624;19.0,0.1560319797228959;18.867962264113206,0.15712388933349175;18.867962264113206,0.15712388933349175;18.973665961010276,0.15624854052069378;18.867962264113206,0.15712388933349175;18.973665961010276,0.15624854052069378",0.0045945871026435055,244
24,1,"15.84297951775486,0.18712437338018745;15.231546211727817,0.19463602535981323;15.84297951775486,0.18712437338018745;15.459624833740307,0.19176452511737727;15.459624833740307,0.19176452511737727;15.556349186104045,0.19057219526694635;16.3707055437449,0.18109223251332454;15.491933384829668,0.19136459866514058;15.684387141358123,0.1890164778525299;15.459624833740307,0.19176452511737727",0.12265662124533533,63
8,1,"15.620499351813308,0.18978955460798858;15.362291495737216,0.1929795184239052;15.165750888103101,0.1954804372436734;15.620499351813308,0.18978955460798858;15.297058540778355,0.19380246253435435;15.84297951775486,0.18712437338018745;15.0996688705415,0.19633593558589782;15.033296378372908,0.19720276512341928;15.394804318340652,0.19257195826796752;15.033296378372908,0.19720276512341928",0.12211317203501298,116
3,1,"14.696938456699069,0.20171599843528723;14.628738838327793,0.2026564044583016;14.628738838327793,0.2026564044583016;14.89966442575134,0.19897143519630153;14.933184523068078,0.19852480963825475;14.491376746189438,0.20457736118927256;14.491376746189438,0.20457736118927256;14.491376746189438,0.20457736118927256;15.264337522473747,0.1942179023734386;14.628738838327793,0.2026564044583016",0.1921700042350588,243
27,1,"15.684387141358123,0.1890164778525299;15.620499351813308,0.18978955460798858;15.7797338380595,0.1878743738747112;15.394804318340652,0.19257195826796752;16.09347693943108,0.18421175398532766;15.968719422671311,0.18565093018830753;15.748015748023622,0.18825277178853983;15.165750888103101,0.1954804372436734;15.231546211727817,0.19463602535981323;15.264337522473747,0.1942179023734386",0.19984385328942028,106
11,1,"15.297058540778355,0.19380246253435435;14.628738838327793,0.2026564044583016;14.035668847618199,0.2112195469215637;15.459624833740307,0.19176452511737727;13.856406460551018,0.21395212555110993;14.142135623730951,0.209629414793641;14.45683229480096,0.20506619667997183;14.2828568570857,0.20756404999356173;14.106735979665885,0.2101554618310251;14.730919862656235,0.20125067832664548",0.3861003189978468,155
45,1,"14.966629547095765,0.19808117822427804;15.556349186104045,0.19057219526694635;15.556349186104045,0.19057219526694635;15.491933384829668,0.19136459866514058;15.748015748023622,0.18825277178853983;15.427248620541512,0.19216696947423417;15.427248620541512,0.19216696947423417;15.394804318340652,0.19257195826796752;15.620499351813308,0.18978955460798858;15.652475842498529,0.18940183294745763",0.44809294338599115,305
30,1,"15.524174696260024,0.19096716397099261;15.198684153570664,0.19505686050055457;14.966629547095765,0.19808117822427804;15.329709716755891,0.19338967726796585;15.0996688705415,0.19633593558589782;15.0996688705415,0.19633593558589782;15.459624833740307,0.19176452511737727;15.524174696260024,0.19096716397099261;15.231546211727817,0.19463602535981323;14.38749456993816,0.20605447323187173",0.2356762809530943,259
4,1,"16.278820596099706,0.18211439810604718;16.492422502470642,0.1797557402068077;16.217274740226856,0.1828055368255759;15.7797338380595,0.1878743738747112;16.1245154965971,0.18385715932740243;16.401219466856727,0.18075531644008822;16.15549442140351,0.18350460452682768;16.583123951777,0.17877256561284663;16.431676725154983,0.1804202738602174;16.64331697709324,0.17812600810375193",0.29914156852556995,283
23,1,"13.564659966250536,0.21855377297411765;13.892443989449804,0.21339712558757867;14.071247279470288,0.21068548905826812;14.247806848775006,0.20807466343424721;13.674794331177344,0.21679357970130303;13.820274961085254,0.21451147846788013;13.92838827718412,0.21284642240992815;13.638181696985855,0.21737557693561332;14.2828568570857,0.20756404999356173;14.177446878757825,0.20910729837943642",0.1771451681528709,56
16,1,"17.378147196982766,0.1705939983780172;17.378147196982766,0.1705939983780172;17.233687939614086,0.17202398146716175;17.233687939614086,0.17202398146716175;17.378147196982766,0.1705939983780172;17.52141546793523,0.16919909354129248;17.175564037317667,0.17260612858441005;17.291616465790582,0.1714476851022082;16.73320053068151,0.17716919182909474;17.233687939614086,0.17202398146716175",0.10556904002968077,152
28,1,"16.522711641858304,0.17942621519972213;16.34013463836819,0.18143103960562487;16.64331697709324,0.17812600810375193;16.492422502470642,0.1797557402068077;16.522711641858304,0.17942621519972213;16.61324772583615,0.17844840838222154;15.905973720586866,0.18638328384121336;16.34013463836819,0.18143103960562487;16.06237840420901,0.18456840824757134;16.492422502470642,0.1797557402068077",0.1031001727288149,402
42,1,"14.212670403551895,0.20858906388162887;14.491376746189438,0.20457736118927256;14.832396974191326,0.1998738046111832;14.317821063276353,0.20705717732001253;14.352700094407323,0.2065539999606215;14.866068747318506,0.1994210887306551;14.212670403551895,0.20858906388162887;14.560219778561036,0.20361008692329025;14.142135623730951,0.209629414793641;13.92838827718412,0.21284642240992815",0.3520854085068764,308
49,1,"14.422205101855956,0.20555855320304064;14.798648586948742,0.20032961775641972;14.89966442575134,0.19897143519630153;15.165750888103101,0.1954804372436734;15.0,0.19764050764900148;15.0996688705415,0.19633593558589782;14.696938456699069,0.20171599843528723;15.588457268119896,0.19017966715654216;15.556349186104045,0.19057219526694635;14.832396974191326,0.1998738046111832",0.11166432851846528,374
19,1,"16.911534525287763,0.1753009231836445;16.792855623746664,0.17653981438051491;16.941074346097416,0.1749952543840855;16.34013463836819,0.18143103960562487;16.703293088490067,0.17748641534512014;16.792855623746664,0.17653981438051491;16.76305461424021,0.17685366318717288;17.05872210923198,0.17378837616040485;17.0,0.17438868321970719;17.175564037317667,0.17260612858441005",0.33196957542383054,259
12,1,"15.033296378372908,0.19720276512341928;15.264337522473747,0.1942179023734386;15.556349186104045,0.19057219526694635;15.132745950421556,0.19590678548676993;14.730919862656235,0.20125067832664548;15.231546211727817,0.19463602535981323;15.066519173319364,0.1967679183646423;15.231546211727817,0.19463602535981323;15.0,0.19764050764900148;14.66287829861518,0.20218456120003475",0.16803333371818754,411
46,1,"16.217274740226856,0.1828055368255759;15.394804318340652,0.19257195826796752;15.427248620541512,0.19216696947423417;15.84297951775486,0.18712437338018745;15.491933384829668,0.19136459866514058;16.15549442140351,0.18350460452682768;16.0,0.1852879759209389;15.652475842498529,0.18940183294745763;15.937377450509228,0.18601602578222792;16.1245154965971,0.18385715932740243",0.18203954586548277,390
