"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"360","0.72"
2,1,"52","0.104"
3,1,"242","0.484"
4,1,"280","0.56"
5,1,"257","0.514"
6,1,"140","0.28"
7,1,"241","0.482"
8,1,"113","0.226"
9,1,"109","0.218"
10,1,"189","0.378"
11,1,"151","0.302"
12,1,"416","0.832"
13,1,"164","0.328"
14,1,"135","0.27"
15,1,"229","0.458"
16,1,"151","0.302"
17,1,"65","0.13"
18,1,"157","0.314"
19,1,"260","0.52"
20,1,"94","0.188"
21,1,"291","0.582"
22,1,"195","0.39"
23,1,"57","0.114"
24,1,"62","0.124"
25,1,"74","0.148"
26,1,"363","0.726"
27,1,"106","0.212"
28,1,"404","0.808"
29,1,"303","0.606"
30,1,"261","0.522"
31,1,"296","0.592"
32,1,"50","0.1"
33,1,"415","0.83"
34,1,"84","0.168"
35,1,"436","0.872"
36,1,"338","0.676"
37,1,"219","0.438"
38,1,"288","0.576"
39,1,"332","0.664"
40,1,"369","0.738"
41,1,"277","0.554"
42,1,"309","0.618"
43,1,"303","0.606"
44,1,"287","0.574"
45,1,"302","0.604"
46,1,"394","0.788"
47,1,"275","0.55"
48,1,"355","0.71"
49,1,"373","0.746"
50,1,"384","0.768"
