simulation,permutation,lambda_pairs,threshold,predicted_changepoints
15,1,"12.036371259734777,0.08062669799755422;6.6332495807108,0.07900705839685054;11.784461176574762,0.08235021152041729;10.164326150383978,0.08184653577707482",0.037985868006272926,107
9,1,"11.489803016560959,0.09852749027978326;9.91331639219692,0.0839189279353664;25.45584412271571,0.08235021152041729;9.945039085732523,0.0836512432727139",0.0001,
3,1,"7.469430366979094,0.08184653577707482;6.244997998398399,0.0839189279353664;6.480740698407861,0.08086630238312927;15.986605936435668,0.08260556162634067",0.04850458177468304,34;58
16,1,"9.785397273080452,0.08501595394658636;24.819347291981718,0.08446209818795883;7.190967946432964,0.08501595394658636;25.219040425836983,0.08312346990763178",0.0001,
11,1,"9.187747838450756,0.09054611625666228;11.89307601803491,0.08159813904102371;5.958187643906491,0.1396254924545836;10.955097334092024,0.08858459591454737",0.12533322564392235,124
20,1,"19.162993274104753,0.08038921088964283;16.1839789166556,0.08159813904102371;8.633244716740448,0.08260556162634067;24.576411454889012,0.0852969991890086",0.031876776159977194,100
27,1,"9.785397273080452,0.08501595394658636;6.224949798994366,0.08418919893438594;6.363961030678928,0.08235021152041729;10.07093066784482,0.08260556162634067",0.26040908175296823,156
4,1,"21.618870658377148,0.08312346990763178;6.082762530298219,0.08615715875372316;8.136340819345097,0.08765046159182227;11.414950082837288,0.08501595394658636",0.020951508716347475,19;166;182
7,1,"24.979991993593597,0.0839189279353664;18.415720404376913,0.0836512432727139;16.085595154386315,0.0820972148809897;16.134862023667413,0.08184653577707482",0.0001,
24,1,"13.746916178231789,0.08235021152041729;11.527047208293473,0.08418919893438594;13.66179513578573,0.08286330191451272;22.550568381470065,0.0796891463758063",0.0001,
12,1,"6.5,0.08062669799755422;6.745368781616021,0.07769383023392645;26.608269391300137,0.07878355849109886;6.652067347825034,0.07878355849109886",0.02729381402297943,59;65
18,1,"6.34428877022476,0.08260556162634067;11.856981622145828,0.09547636077266335;13.66179513578573,0.08286330191451272;6.383572667401852,0.0820972148809897",0.1268480260250337,148;155;163
29,1,"11.187386714355975,0.08674526905374283;9.688349612662007,0.08586755403933852;7.492168411561039,0.08159813904102371;12.915635975800209,0.08765046159182227",0.04532392248050447,173
23,1,"8.360833736995994,0.15794866916618513;6.0,0.08734558949735043;11.820777013591403,0.20687201833260316;8.22124406625738,0.10119087539703445",0.29959355538026045,67
50,1,"24.738633753705955,0.08473766857162739;20.85764631288912,0.08615715875372316;10.008182825400546,0.08312346990763178;18.993155419519695,0.08110805569492732",0.009537708072014334,116;133
6,1,"18.993155419519695,0.08110805569492732;6.708203932499369,0.09113422995438744;7.627173297326777,0.08015381005956591;6.5,0.08062669799755422",0.08559071530449669,55
1,1,"22.271057451320083,0.09412638589426993;17.202801180519756,0.0895492479058152;16.88596372930988,0.09122949286660428;16.432131168021893,0.23623299026084896",0.06572198332640884,75
13,1,"8.766276354293487,0.08135199024779767;10.409284811693794,0.07992046513922704;10.707605499850725,0.07769383023392645;7.559972222655573,0.08086630238312927",0.0001,
22,1,"10.102158434784357,0.08235021152041729;8.818927136116525,0.08086630238312927;6.4031242374328485,0.08184653577707482;6.689544080129826,0.07834219054490955",0.07708513260916346,105
25,1,"22.288343554179896,0.08062669799755422;25.219040425836983,0.08312346990763178;10.409284811693794,0.07992046513922704;21.413947828226046,0.0839189279353664",0.008789058196403632,130
19,1,"18.781274667767992,0.15188618261525821;21.725560982400427,0.24313895746085365;19.321298119898728,0.09300801289111393;23.237900077244504,0.1670465691511229",0.3685111728248921,130
