"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"110","0.22"
2,1,"228","0.456"
3,1,"233","0.466"
4,1,"106","0.212"
5,1,"389","0.778"
6,1,"280","0.56"
7,1,"214","0.428"
8,1,"406","0.812"
9,1,"286","0.572"
10,1,"86","0.172"
11,1,"65","0.13"
12,1,"403","0.806"
13,1,"450","0.9"
14,1,"431","0.862"
15,1,"253","0.506"
16,1,"195","0.39"
17,1,"279","0.558"
18,1,"366","0.732"
19,1,"247","0.494"
20,1,"312","0.624"
21,1,"152","0.304"
22,1,"369","0.738"
23,1,"262","0.524"
24,1,"178","0.356"
25,1,"217","0.434"
26,1,"104","0.208"
27,1,"329","0.658"
28,1,"284","0.568"
29,1,"265","0.53"
30,1,"149","0.298"
31,1,"271","0.542"
32,1,"316","0.632"
33,1,"443","0.886"
34,1,"377","0.754"
35,1,"284","0.568"
36,1,"297","0.594"
37,1,"393","0.786"
38,1,"78","0.156"
39,1,"319","0.638"
40,1,"345","0.69"
41,1,"188","0.376"
42,1,"342","0.684"
43,1,"176","0.352"
44,1,"294","0.588"
45,1,"126","0.252"
46,1,"139","0.278"
47,1,"233","0.466"
48,1,"259","0.518"
49,1,"368","0.736"
50,1,"343","0.686"
