"original_index","V2","V3","V4","V5","V6","V7"
1,-1.00227539658216,-0.706503618610673,-1.2377516987122,-0.889176031081879,-0.165851360819597,-0.525769958307721
2,-0.341355264830097,-0.353160939300828,0.458354083383108,-0.434571486298144,0.227118352154259,-0.267655572077972
3,-2.99249712320671,-2.65110302983089,-6.65318330726635,-2.26760737085974,-2.52065725564274,-2.87758665304847
8,-0.904068330534571,-0.636696779845478,-3.39435945040524,-2.34043342658316,-1.3002152049489,-1.10701847792394
9,-1.4047760088716,-1.36657760788619,-2.06351564161247,-1.3232502919449,-1.01578153929766,-0.926778993792817
10,-0.136280496366498,0.417085050329854,1.57723371525986,-3.09088182281366,1.24841661418628,0.696843194820378
12,-1.44590159202529,-1.25048222296968,-3.07307667616942,-1.74018896564911,-1.33967995229263,-0.477290324241996
17,-1.97659423757231,-2.17510565922499,-3.58679348869537,-2.43775379602098,-1.12080055305139,-1.49521912485203
18,-1.2618813839699,-1.27279089267517,-1.99602834879899,-1.01965191608395,-0.585743131140012,-0.676277455209656
22,-0.491401766638818,-0.723636229878787,-2.02843090182747,-2.26153318366706,-0.675412367724116,-0.857158663885837
26,-1.80193137245047,-1.40274379411396,-1.68577827041158,-3.74805234324975,-0.465346625873939,-0.845262713424894
28,-1.24268926683671,-1.04274606193179,-3.51262454239542,-3.42894341115369,-0.906876787053738,-1.01348816007756
33,-1.49111725012751,-0.880325340717937,-2.19723675683121,-0.936925979699535,-0.425449370569876,-0.48133221866685
34,-0.288257205489017,0.051876503585712,-1.60251572337216,-1.95177657628046,0.0619005370518837,0.329873539227506
36,-0.345530760961932,-0.458877291172072,-3.97448302806918,-0.559184349066022,-1.04834204167667,-1.077032219665
37,-2.3266864833022,-1.60190244692571,-2.76201986860945,-3.21030738703823,-1.26657905346791,-1.34161609889217
43,-0.667582031565435,-0.599663698705229,-1.08433937710203,-2.34306551357971,-0.0374128981229812,-0.616988177059311
44,-1.46392854986839,-1.09056863300536,-1.47529444721213,-1.28815522810814,-0.847541972672904,-1.57866769711381
47,-0.58105629382408,-0.691380853559321,-0.933136223502142,-0.296848933281211,0.0201441868521649,-0.328112721422303
52,-1.53891310710155,-1.65992625140237,-4.40266031099197,-1.67369020171924,-1.57190962736047,-1.977331076208
53,-0.34720507033618,-0.15331540369288,-2.27433008228828,-1.12674952805915,-0.845088001531454,-0.818409749491722
55,-2.26178457578441,-1.55705321122973,-4.73383452923489,-1.79325341523569,-1.85504366999625,-1.75688002106788
56,-1.26298940866701,-0.650606121444138,-1.38687013284036,-2.68600025054803,-0.254224662782124,-0.67011739996931
