"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"622","0.622"
2,1,"127","0.127"
3,1,"675","0.675"
4,1,"174","0.174"
5,1,"298","0.298"
6,1,"741","0.741"
7,1,"721","0.721"
8,1,"90","0.09"
9,1,"394","0.394"
10,1,"660","0.66"
11,1,"535","0.535"
12,1,"197","0.197"
13,1,"381","0.381"
14,1,"438","0.438"
15,1,"345","0.345"
16,1,"943","0.943"
17,1,"944","0.944"
18,1,"893","0.893"
19,1,"248","0.248"
20,1,"555","0.555"
21,1,"496","0.496"
22,1,"129","0.129"
23,1,"500","0.5"
24,1,"414","0.414"
25,1,"531","0.531"
26,1,"543","0.543"
27,1,"292","0.292"
28,1,"908","0.908"
29,1,"126","0.126"
30,1,"248","0.248"
31,1,"133","0.133"
32,1,"103","0.103"
33,1,"915","0.915"
34,1,"677","0.677"
35,1,"742","0.742"
36,1,"248","0.248"
37,1,"495","0.495"
38,1,"622","0.622"
39,1,"487","0.487"
40,1,"409","0.409"
41,1,"117","0.117"
42,1,"874","0.874"
43,1,"741","0.741"
44,1,"135","0.135"
45,1,"581","0.581"
46,1,"676","0.676"
47,1,"833","0.833"
48,1,"418","0.418"
49,1,"562","0.562"
50,1,"509","0.509"
