"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"195","0.195"
2,1,"499","0.499"
3,1,"517","0.517"
4,1,"678","0.678"
5,1,"60","0.06"
6,1,"392","0.392"
7,1,"231","0.231"
8,1,"397","0.397"
9,1,"918","0.918"
10,1,"909","0.909"
11,1,"678","0.678"
12,1,"621","0.621"
13,1,"860","0.86"
14,1,"406","0.406"
15,1,"293","0.293"
16,1,"656","0.656"
17,1,"278","0.278"
18,1,"730","0.73"
19,1,"752","0.752"
20,1,"464","0.464"
21,1,"361","0.361"
22,1,"556","0.556"
23,1,"462","0.462"
24,1,"909","0.909"
25,1,"806","0.806"
26,1,"281","0.281"
27,1,"363","0.363"
28,1,"912","0.912"
29,1,"61","0.061"
30,1,"711","0.711"
31,1,"929","0.929"
32,1,"239","0.239"
33,1,"825","0.825"
34,1,"591","0.591"
35,1,"680","0.68"
36,1,"111","0.111"
37,1,"98","0.098"
38,1,"871","0.871"
39,1,"284","0.284"
40,1,"711","0.711"
41,1,"428","0.428"
42,1,"727","0.727"
43,1,"239","0.239"
44,1,"315","0.315"
45,1,"308","0.308"
46,1,"91","0.091"
47,1,"897","0.897"
48,1,"793","0.793"
49,1,"77","0.077"
50,1,"400","0.4"
