"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"158","0.316"
2,1,"378","0.756"
3,1,"255","0.51"
4,1,"145","0.29"
5,1,"78","0.156"
6,1,"138","0.276"
7,1,"78","0.156"
8,1,"223","0.446"
9,1,"245","0.49"
10,1,"65","0.13"
11,1,"265","0.53"
12,1,"233","0.466"
13,1,"159","0.318"
14,1,"95","0.19"
15,1,"147","0.294"
16,1,"263","0.526"
17,1,"176","0.352"
18,1,"89","0.178"
19,1,"72","0.144"
20,1,"264","0.528"
21,1,"435","0.87"
22,1,"66","0.132"
23,1,"218","0.436"
24,1,"122","0.244"
25,1,"252","0.504"
26,1,"410","0.82"
27,1,"223","0.446"
28,1,"70","0.14"
29,1,"184","0.368"
30,1,"111","0.222"
31,1,"162","0.324"
32,1,"276","0.552"
33,1,"275","0.55"
34,1,"72","0.144"
35,1,"407","0.814"
36,1,"280","0.56"
37,1,"245","0.49"
38,1,"76","0.152"
39,1,"142","0.284"
40,1,"108","0.216"
41,1,"54","0.108"
42,1,"420","0.84"
43,1,"265","0.53"
44,1,"80","0.16"
45,1,"279","0.558"
46,1,"180","0.36"
47,1,"248","0.496"
48,1,"77","0.154"
49,1,"382","0.764"
50,1,"149","0.298"
