"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"290","0.58"
2,1,"168","0.336"
3,1,"251","0.502"
4,1,"194","0.388"
5,1,"347","0.694"
6,1,"119","0.238"
7,1,"401","0.802"
8,1,"196","0.392"
9,1,"349","0.698"
10,1,"63","0.126"
11,1,"256","0.512"
12,1,"267","0.534"
13,1,"52","0.104"
14,1,"425","0.85"
15,1,"396","0.792"
16,1,"345","0.69"
17,1,"410","0.82"
18,1,"157","0.314"
19,1,"203","0.406"
20,1,"194","0.388"
21,1,"99","0.198"
22,1,"361","0.722"
23,1,"313","0.626"
24,1,"285","0.57"
25,1,"229","0.458"
26,1,"332","0.664"
27,1,"354","0.708"
28,1,"86","0.172"
29,1,"101","0.202"
30,1,"323","0.646"
31,1,"242","0.484"
32,1,"270","0.54"
33,1,"171","0.342"
34,1,"157","0.314"
35,1,"114","0.228"
36,1,"143","0.286"
37,1,"90","0.18"
38,1,"131","0.262"
39,1,"333","0.666"
40,1,"310","0.62"
41,1,"427","0.854"
42,1,"147","0.294"
43,1,"163","0.326"
44,1,"126","0.252"
45,1,"199","0.398"
46,1,"364","0.728"
47,1,"355","0.71"
48,1,"441","0.882"
49,1,"256","0.512"
50,1,"312","0.624"
