simulation,permutation,lambda_pairs,threshold,predicted_changepoints
50,1,"23.979157616563597,0.08742150918964707;24.454038521274967,0.0857238425511041;24.61706725018234,0.0851561287391325;24.515301344262525,0.08550962186834465",0.021423874190419412,363
25,1,"24.95996794869737,0.08398625159475867;25.019992006393608,0.08378476489523749;25.357444666211933,0.08266977116703174;25.357444666211933,0.08266977116703174",0.0003775272228937925,92
4,1,"23.790754506740637,0.08811381527821939;23.280893453645632,0.09004354373728489;23.302360395462088,0.08996059250481095;23.15167380558045,0.09054611625666227",0.0020884427452890243,568;812
22,1,"26.248809496813376,0.07986244664509076;25.514701644346147,0.08216024538154582;26.1725046566048,0.0800952822605534;25.942243542145693,0.08080620107242369",0.008697816058858839,339
13,1,"23.323807579381203,0.08987787010340385;23.388031127053,0.0896310654175426;23.194827009486403,0.09037765822004411;23.2379000772445,0.0902101369301087",0.06542814694864646,690
28,1,"25.553864678361276,0.08203432922267638;25.553864678361276,0.08203432922267638;25.357444666211933,0.08266977116703174;25.25866188063018,0.08299308007064188",0.0332429798900572,667
26,1,"26.019223662515376,0.08056712894768027;26.343879744638983,0.07957423766949168;26.324893162176366,0.07963162984259961;26.1725046566048,0.0800952822605534",0.006848125017126406,903
19,1,"20.904544960366874,0.10027934843407471;21.0,0.09982353085411476;21.494185260204677,0.09752843025027728;21.0,0.09982353085411476",0.07710928693644231,109
17,1,"25.729360660537214,0.08147478577466684;25.317977802344327,0.0827986407248648;26.1725046566048,0.0800952822605534;25.787593916455254,0.0812908003254522",0.022599686067290712,346
9,1,"24.474476501040833,0.08565225686634238;24.166091947189145,0.08674526905374282;23.769728648009426,0.08819175763337804;24.310491562286437,0.08623001894328008",0.027600208220021745,520
14,1,"23.83275057562597,0.08795854852273385;23.811761799581316,0.08803607921079025;23.979157616563597,0.08742150918964707;23.748684174075834,0.08826990719025746",0.043059533206932774,566
3,1,"24.859605789312106,0.08432531737239655;24.657656011875904,0.08501595394658634;25.199206336708304,0.08318889571068303;24.899799195977465,0.08418919893438595",0.0021763159236648406,77
21,1,"24.041630560342615,0.08719434160985359;23.302360395462088,0.08996059250481095;24.145392935299274,0.08681963277854716;23.323807579381203,0.08987787010340385",0.09207821985042662,748
10,1,"21.587033144922902,0.0971089511867193;22.40535650240808,0.09356218669009372;22.135943621178654,0.09470091647372882;22.090722034374522,0.09489477730399429",0.12366632804398503,670
7,1,"24.269322199023193,0.0863762955860705;24.289915602982237,0.08630306429220502;24.020824298928627,0.08726986725555078;24.859605789312106,0.08432531737239655",0.006286519447172988,852
2,1,"23.40939982143925,0.08954924790581523;22.737634001804146,0.09219491121064209;23.065125189341593,0.09088587773653659;22.93468988235943,0.09140276841278795",0.02763060071714845,903
15,1,"25.278449319529077,0.08292811483166812;25.475478405713993,0.08228674313987462;25.495097567963924,0.08222342128121626;24.779023386727733,0.08459954677064624",0.017391034096409148,476
8,1,"26.28687885618983,0.07974678771887712;26.40075756488817,0.07940280284700571;26.0,0.08062669799755423;26.038433132583073,0.08050769173638263",0.044625605957548595,162
1,1,"22.427661492005804,0.09346913625763527;22.516660498395403,0.09309969158551719;22.135943621178654,0.09470091647372882;22.045407685048602,0.09508983357827108",0.02356492533688276,76
20,1,"25.903667693977237,0.08092653799847083;26.19160170741759,0.08003688248446178;25.96150997149434,0.08074623356800643;26.13426869074396,0.08021246634993309",0.0014998551540302487,136
6,1,"24.08318915758459,0.08704387671498307;23.706539182259394,0.08842683159358644;24.166091947189145,0.08674526905374282;23.811761799581316,0.08803607921079025",0.05871237243242185,504
11,1,"25.729360660537214,0.08147478577466684;25.37715508089904,0.08260556162634067;25.826343140289914,0.0811688335645988;25.37715508089904,0.08260556162634067",0.005421438051518401,382
16,1,"24.351591323771842,0.08608448294260028;25.0,0.0838517659174564;24.79919353527449,0.08453073866916806;24.71841418861655,0.08480698364953387",0.00750827281713535,907
27,1,"26.814175355583846,0.07817857980479989;26.229754097208,0.07992046513922704;26.627053911388696,0.0787279792542051;26.90724809414742,0.07790815844866625",0.03018471418757039,416
24,1,"25.436194683953808,0.08241382698878454;25.179356624028344,0.08325447624566955;24.939927826679853,0.08405373754505692;25.41653005427767,0.08247759011398167",0.040192451546912554,291
5,1,"26.28687885618983,0.07974678771887712;26.28687885618983,0.07974678771887712;26.570660511172846,0.07889507101469787;26.589471600616662,0.07883925560550789",0.00806979110873089,330
12,1,"24.939927826679853,0.08405373754505692;24.677925358506133,0.0849461256358751;25.03996805109783,0.0837179242265248;25.709920264364882,0.08153639242677733",0.03422533242527129,385
18,1,"22.44994432064365,0.09337636289853873;22.15851980616034,0.09460443054294695;22.693611435820433,0.09237375698728771;22.978250586152114,0.09122949286660428",0.05404526949035953,344
29,1,"24.839484696748443,0.0843936246475685;24.79919353527449,0.08453073866916806;25.0,0.0838517659174564;24.859605789312106,0.08432531737239655",0.01373048603550954,247
23,1,"25.436194683953808,0.08241382698878454;25.436194683953808,0.08241382698878454;24.919871588754223,0.08412138643934346;24.79919353527449,0.08453073866916806",0.0005504088948685862,418;485
31,1,"25.865034312755125,0.08104741414948133;25.632011235952593,0.08178422397833748;26.248809496813376,0.07986244664509076;25.495097567963924,0.08222342128121626",0.00042570649022748413,78
44,1,"25.337718918639855,0.08273413067165482;25.357444666211933,0.08266977116703174;25.632011235952593,0.08178422397833748;25.41653005427767,0.08247759011398167",0.016403392408021623,743
43,1,"25.92296279363144,0.08086630238312928;25.88435821108957,0.08098690841939825;25.748786379167466,0.08141331855673228;25.768197453450252,0.08135199024779768",0.007194547976810637,341
36,1,"23.706539182259394,0.08842683159358644;24.0,0.08734558949735041;24.49489742783178,0.08558085022044397;24.289915602982237,0.08630306429220502",0.045617627481077186,153
35,1,"25.865034312755125,0.08104741414948133;25.942243542145693,0.08080620107242369;25.98076211353316,0.0806863993741149;25.495097567963924,0.08222342128121626",0.017378307964724508,423
40,1,"24.331050121192877,0.08615715875372316;23.874672772626646,0.0878040996792175;24.351591323771842,0.08608448294260028;24.0,0.08734558949735041",0.032556478882494154,464
49,1,"25.67099530598687,0.08166002614816893;25.865034312755125,0.08104741414948133;26.13426869074396,0.08021246634993309;25.573423705088842,0.0819715878527156",0.019972448684433333,82
38,1,"25.942243542145693,0.08080620107242369;26.30589287593181,0.07968914637580629;26.019223662515376,0.08056712894768027;25.942243542145693,0.08080620107242369",0.02656473171842971,186
32,1,"24.779023386727733,0.08459954677064624;25.03996805109783,0.0837179242265248;25.45584412271571,0.08235021152041729;24.919871588754223,0.08412138643934346",0.06522293888117935,895
47,1,"23.259406699226016,0.09012672485778267;23.280893453645632,0.09004354373728489;23.130067012440755,0.09063069928889075;23.473389188611005,0.08930513319114164",0.02916402768849844,677
33,1,"24.0,0.08734558949735041;23.93741840717165,0.08757394436938783;24.041630560342615,0.08719434160985359;24.24871130596428,0.0864497136151231",0.009678629518128614,226
34,1,"25.39685019840059,0.08254150146810048;25.826343140289914,0.0811688335645988;25.45584412271571,0.08235021152041729;25.632011235952593,0.08178422397833748",0.018585637565354227,743
48,1,"25.534290669607408,0.08209721488098971;25.573423705088842,0.0819715878527156;25.475478405713993,0.08228674313987462;25.573423705088842,0.0819715878527156",0.014009768017400987,285
46,1,"25.39685019840059,0.08254150146810048;25.553864678361276,0.08203432922267638;25.436194683953808,0.08241382698878454;25.0,0.0838517659174564",0.009163100801321804,164;586
41,1,"25.903667693977237,0.08092653799847083;26.0,0.08062669799755423;25.748786379167466,0.08141331855673228;25.729360660537214,0.08147478577466684",0.03230687155057597,887
42,1,"25.436194683953808,0.08241382698878454;25.436194683953808,0.08241382698878454;25.059928172283335,0.08365124327271391;25.337718918639855,0.08273413067165482",0.0187237875447404,461
39,1,"26.1725046566048,0.0800952822605534;26.758176320519304,0.07834219054490955;26.229754097208,0.07992046513922704;27.09243436828813,0.07737562890952818",0.02589942012205593,297
37,1,"26.476404589747453,0.0791759372323599;26.0,0.08062669799755423;25.98076211353316,0.0806863993741149;26.627053911388696,0.0787279792542051",0.028811866557050318,596
45,1,"23.748684174075834,0.08826990719025746;24.124676163629637,0.08689418808020243;23.916521486202797,0.08765046159182226;23.259406699226016,0.09012672485778267",0.028831623768081825,456
30,1,"24.79919353527449,0.08453073866916806;24.310491562286437,0.08623001894328008;24.55605831561735,0.08536769708692184;24.145392935299274,0.08681963277854716",0.021183792856416864,129
