"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"73","0.073"
2,1,"910","0.91"
3,1,"65","0.065"
4,1,"175","0.175"
5,1,"328","0.328"
6,1,"501","0.501"
7,1,"854","0.854"
8,1,"164","0.164"
9,1,"523","0.523"
10,1,"667","0.667"
11,1,"378","0.378"
12,1,"375","0.375"
13,1,"691","0.691"
14,1,"568","0.568"
15,1,"472","0.472"
16,1,"912","0.912"
17,1,"344","0.344"
18,1,"343","0.343"
19,1,"108","0.108"
20,1,"133","0.133"
21,1,"749","0.749"
22,1,"335","0.335"
23,1,"416","0.416"
24,1,"292","0.292"
25,1,"94","0.094"
26,1,"907","0.907"
27,1,"416","0.416"
28,1,"668","0.668"
29,1,"252","0.252"
30,1,"128","0.128"
31,1,"80","0.08"
32,1,"891","0.891"
33,1,"233","0.233"
34,1,"747","0.747"
35,1,"423","0.423"
36,1,"149","0.149"
37,1,"600","0.6"
38,1,"185","0.185"
39,1,"297","0.297"
40,1,"466","0.466"
41,1,"888","0.888"
42,1,"458","0.458"
43,1,"339","0.339"
44,1,"742","0.742"
45,1,"447","0.447"
46,1,"589","0.589"
47,1,"690","0.69"
48,1,"285","0.285"
49,1,"80","0.08"
50,1,"363","0.363"
