"original_index","V2","V3","V4","V5","V6","V7","V8","V9","V10"
3,0.719223361382636,0.216464469735249,0.233098654361279,0.44084401215852,0.0961264414573347,1.11738277244969,0.436183060118888,1.4106838125378,0.502081516614399
4,-0.531219654402303,-0.0179552948063755,-1.21567260554465,-0.484441674668324,-0.102554488434224,-0.595979494032585,-0.209741769345497,0.281658184713596,-0.458197120550968
8,0.650385887357144,-0.530517365857095,-1.13636019430374,-0.335420222895756,-0.297114606722598,0.133370473072855,-0.52424077396926,0.27741364638545,-0.482762793925149
9,-0.837800414336396,-0.600117523165821,-2.8093083580728,-0.488576997934862,-0.0605502065424682,-0.822472465482512,-0.0633395139299492,-2.03578686709326,-0.368409723803865
13,-0.0318052448131413,0.306748983255765,0.473684258652044,0.111479211027475,0.575827930564653,-0.276161866886027,0.40213016983916,-0.75203699931461,0.393428156129586
16,-1.48143089459492,0.673242236008707,2.0209099356561,-0.234490941805442,0.469167971457008,-0.493444118574421,-0.423758030324474,-0.156679856717098,-0.309252033471959
20,-0.920235793076099,-0.59466420579848,-0.896935452812548,-1.47937463745776,-0.651885281323761,0.0222759652849555,-1.13579160783044,-1.759132490161,-0.149955138281665
22,-0.561178731806532,-0.903526128927665,-2.29496631701532,-0.487830313669447,-0.60865434495888,-1.07733458620548,0.388731504042064,-0.701962090035456,-0.79603352583334
25,-0.73656022317706,0.0136663813751596,-0.371272548794297,-0.882977382916303,0.117212747308041,-0.86120063324135,-0.679875061654374,-1.06735416452599,-0.0681892120925997
34,-1.70150179406886,-1.06396588452145,0.0144515629174817,-2.64168813431747,-0.971756072527029,-1.5820757391073,-2.31398985443982,-1.35878923715157,-1.15841761318682
35,-0.662542209050974,-0.74566311945269,-0.753209815188402,-0.971113838461285,-0.340113715137001,-1.06625066410974,-0.557692541825181,-2.62232135154414,-0.592661605937287
37,-0.155835181679995,-1.12469783146618,-1.84854270544689,-0.485982864945064,-0.929933396800533,-1.35073690822125,-0.57087452757925,-2.22370148067896,-1.47725818108925
38,0.0631025513402153,0.408514817107721,0.568602491385703,0.760787321853705,0.493689603285273,0.77554917484647,0.713741668453126,0.478969812421069,0.963699393687319
39,-0.905218438110851,-0.552021973282036,-1.51597915139419,-0.936358720745311,-0.210589782664654,-0.206181343370669,-0.678082605843957,0.563560395283503,0.243695625921725
41,0.286418462280564,-0.89826643382613,-0.494123585593639,-0.51735493607062,-0.0614022558123232,-0.652238045660752,-1.15505389153917,-1.63151239026636,-0.514671836619633
43,0.337242327179312,0.0704075888839172,-1.59051410162426,-0.0931751289468702,0.498955462321141,-0.010232580090207,0.684386900981049,0.734688842241597,0.549504666256652
44,-0.79999234748928,0.559342302643795,0.609211619644235,0.507854792956301,-0.216968111284524,0.0566389275427874,0.170432011494731,-0.606617163951353,-0.299228734717924
45,0.807467865206226,-0.455085767003353,-4.27512296699195,0.0629278857629741,-0.602456206895564,-1.15528097327665,0.769975155952039,-2.1074066227966,-1.08621432472008
46,0.656606246706719,0.569153406069804,-0.827228113546577,0.846613800098105,0.0891749831862323,0.259313967709381,0.663294120296692,-0.6154330306794,-0.205431227647081
62,-0.196893420860611,-0.0731312698201791,-0.246946275581108,-0.731250433773251,-0.248705635130876,0.144031812120902,-0.494678714802542,0.298119551237605,-0.923486063196627
63,-0.464594185532228,-0.809413414841333,-2.17362739690326,-0.42483583983691,-0.647195834175151,-1.04826405933073,-0.424581898706204,-2.37688450892544,-0.539298733661417
64,0.447416094734523,0.751081281566416,0.704225305675812,-0.144440072721706,0.698515629460766,-0.186027120295899,0.313831705920406,0.544155551446223,0.573760782039496
66,-1.03072814924808,-0.379120521050776,-0.105140794951387,0.0151333718903625,-0.0964216317137418,0.0427718966303801,-0.31567219617321,-0.954676385349695,-0.0364255568907177
74,0.0335787250367058,-0.84116152933821,-3.6133021349128,-1.15518016876832,-0.350648540075226,-1.44990800701738,-0.907845723666227,-2.97536422453808,-0.359438356258225
79,-0.626667222550345,0.517458954956597,0.605563862095217,0.359408988091882,0.122173123302138,-1.44974286389446,0.167785593426079,0.620183400869794,-0.745845532670391
80,-0.809299367706633,-0.475637048418388,-1.42476153050133,-0.82417110387076,0.0820104792097509,-1.55216711994502,-0.522301819450831,-1.58034774947235,-0.479737967264423
82,-1.31927557716574,-0.92981276842438,-2.29333567913303,-1.13633504324837,-0.686690810595208,-0.59588325842724,-1.07556299983576,-3.26413928035254,-1.45941259202104
83,-0.265665619878344,0.0877373794595844,-1.60911105967841,-0.418903394753612,-0.310834191131205,-0.649635138181257,0.0950106693493313,-1.54605012704306,-0.771231664666034
85,-0.471473247247511,-1.14898402270749,-2.41942588161596,-1.35129834454724,-0.781560551497171,-0.799940014358169,-0.609691763596954,-1.58945777684079,-0.726157562032983
86,0.199903726278637,0.021960696426918,-1.92663966354454,-0.445249295056247,-0.371999263033464,-1.09132864964351,-0.315239254368891,0.61813798333904,-1.10770373690686
87,-0.905094272196986,-0.310949723239325,-0.193466901564305,-0.646285787956702,-0.335823337830402,-0.645712587345409,-1.04664789959173,-0.00350231281799309,-0.204078636993163
88,0.522807416483533,-0.0854742385407084,-0.726855161493168,0.0886678146647461,-0.0139027897687539,-0.115950979479462,0.343181592880249,0.0996066983269343,-0.722618283836666
94,-0.443227845270008,-0.546156237634001,-2.71222941976553,-0.360138974392515,-0.681201730704212,-1.13262377749737,0.223238201153157,-0.708233765592697,-1.14568188232462
95,-1.1847668404025,-0.393215328831668,-1.29014345458074,-0.853212962948535,-0.07460889938431,-0.261598852814536,-0.626074605660592,0.872431665238075,0.0878656377120436
96,-2.0141653270565,-0.0797763219235482,0.90441265624468,-1.26229566261668,0.20156928758288,-0.250263666845308,-1.27993950654025,-3.11964252072326,0.575606235823668
98,-0.539927306470234,0.190901404187724,-0.477024676429762,0.262316883984406,-0.370846141588201,1.17549583423044,-0.114457436301105,0.190398088924873,0.208334137054502
102,0.014359083546252,0.715339054723394,1.19296912860105,0.73326601614155,0.426438179468984,0.637095101777835,0.647923392558716,1.57008881157324,1.00748473068992
