simulation,permutation,lambda_pairs,threshold,predicted_changepoints
19,1,"15.0,0.15698800300206328;14.177446878757825,0.1660961994898527;14.142135623730951,0.16651092223153954;14.560219778561036,0.16172970469156422;13.674794331177344,0.17220149627129414",0.19487840281881136,183;307
12,1,"16.73320053068151,0.1407274143827548;16.64331697709324,0.1414874239475201;15.297058540778355,0.15393940205913142;16.09347693943108,0.14632139803558164;16.06237840420901,0.14660469239187446",0.14590198292071527,224
46,1,"18.303005217723125,0.12865756289850888;17.916472867168917,0.1314332381428738;17.69180601295413,0.13310229850512292;18.0,0.13082333583505273;17.916472867168917,0.1314332381428738",0.01734826154997695,394
34,1,"16.15549442140351,0.14575970153604087;16.911534525287763,0.139243428295037;15.588457268119896,0.15106177632130502;15.7797338380595,0.1492306568157256;16.46207763315433,0.14304513060297955",0.013468278989948183,382
16,1,"16.0312195418814,0.14688963861289567;17.029386365926403,0.1382797943760698;16.09347693943108,0.14632139803558164;15.7797338380595,0.1492306568157256;16.73320053068151,0.1407274143827548",0.05422971032011424,193
23,1,"17.320508075688775,0.13595559868917453;17.378147196982766,0.13550466677136896;17.578395831246947,0.13396103191879866;17.435595774162696,0.13505819219097112;17.663521732655695,0.13331543282659433",0.0728925603171064,101
7,1,"15.066519173319364,0.15629489585099368;14.933184523068078,0.15769041368191322;15.165750888103101,0.1552722356054396;14.45683229480096,0.16288630849496688;15.066519173319364,0.15629489585099368",0.09495159302238868,267
28,1,"17.916472867168917,0.1314332381428738;18.05547008526779,0.13042141987498546;17.60681686165901,0.13374479120975338;18.411952639521967,0.12789626886049213;18.027756377319946,0.13062191410537705",0.19799945888060203,374
24,1,"17.320508075688775,0.13595559868917453;17.029386365926403,0.1382797943760698;17.52141546793523,0.13439667870100722;18.05547008526779,0.13042141987498546;17.60681686165901,0.13374479120975338",0.08159051145002691,358
11,1,"16.73320053068151,0.1407274143827548;16.61324772583615,0.14174350999226015;16.76305461424021,0.14047678655359927;16.492422502470642,0.14278193786741677;16.941074346097416,0.13900063224581805",0.04245130498651286,240
45,1,"15.905973720586866,0.1480462677983141;15.556349186104045,0.15137356566503596;15.427248620541512,0.15264031214843368;16.0,0.14717625281443433;16.24807680927192,0.1449291551654395",0.045092744914217754,86
37,1,"17.08800749063506,0.13780541975543306;16.583123951777,0.1420009916031903;16.97056274847714,0.1387591018596163;16.673332000533065,0.1412327209075944;16.431676725154983,0.14330978416986467",0.06315517457401906,263
33,1,"19.05255888325765,0.12359599880834048;19.131126469708992,0.1230884155598167;19.183326093250876,0.1227534804748707;18.788294228055936,0.12533442453304647;18.973665961010276,0.1241099137019678",0.04718933826228312,71
38,1,"16.15549442140351,0.14575970153604087;16.15549442140351,0.14575970153604087;16.30950643030009,0.14438328070162337;16.492422502470642,0.14278193786741677;16.522711641858304,0.14252019257331197",0.022737443208428132,311
20,1,"15.748015748023622,0.14953122239076244;16.673332000533065,0.1412327209075944;16.583123951777,0.1420009916031903;16.34013463836819,0.14411264638552046;15.905973720586866,0.1480462677983141",0.08483697485768514,159
4,1,"17.52141546793523,0.13439667870100722;17.46424919657298,0.13483660353936297;17.74823934929885,0.13267907867852693;17.97220075561143,0.1310256922372575;17.916472867168917,0.1314332381428738",0.05119147192557383,52
41,1,"14.832396974191326,0.15876193504855515;15.716233645501712,0.1498336114203128;15.394804318340652,0.15296199914834424;16.06237840420901,0.14660469239187446;15.231546211727817,0.15460151006979259",0.07535198682846048,183
5,1,"18.24828759089466,0.12904334356314798;17.578395831246947,0.13396103191879866;17.88854381999832,0.13163844238670797;18.138357147217054,0.12982543159330429;18.110770276274835,0.1300231856022033",0.011349890723756677,368
21,1,"17.233687939614086,0.13664051787882617;17.204650534085253,0.13687113495073103;18.083141320025124,0.13022184604746967;17.05872210923198,0.13804199575749865;17.26267650163207,0.13641106260714073",0.01811705998618683,161
39,1,"17.549928774784245,0.1341783248952188;17.578395831246947,0.13396103191879866;17.60681686165901,0.13374479120975338;17.804493814764857,0.13225987043103418;17.46424919657298,0.13483660353936297",0.042078946458807734,288
32,1,"16.583123951777,0.1420009916031903;16.401219466856727,0.1435759121319927;16.852299546352718,0.1397328618894977;16.217274740226856,0.14520442446410753;16.911534525287763,0.139243428295037",0.032798300465147374,430
40,1,"15.716233645501712,0.1498336114203128;15.297058540778355,0.15393940205913142;15.811388300841896,0.14893189644236138;15.84297951775486,0.1486349232726052;16.24807680927192,0.1449291551654395",0.0290160505224613,399
36,1,"17.663521732655695,0.13331543282659433;17.4928556845359,0.13461610199600893;17.69180601295413,0.13310229850512292;17.916472867168917,0.1314332381428738;17.86057109949175,0.1318446107861556",0.010827647110368634,332;388
10,1,"17.029386365926403,0.1382797943760698;17.74823934929885,0.13267907867852693;17.08800749063506,0.13780541975543306;17.86057109949175,0.1318446107861556;17.635192088548397,0.13352959430252404",0.044630930406885046,243
44,1,"15.297058540778355,0.15393940205913142;15.905973720586866,0.1480462677983141;15.874507866387544,0.14833971955861458;16.06237840420901,0.14660469239187446;15.264337522473747,0.15426939043793667",0.02168838310541866,431
25,1,"17.406895185529212,0.1352808769129931;17.663521732655695,0.13331543282659433;17.69180601295413,0.13310229850512292;17.233687939614086,0.13664051787882617;17.175564037317667,0.13710292366029947",0.03873171080666207,144
1,1,"16.55294535724685,0.14225988150199587;16.881943016134134,0.13948750109986982;16.46207763315433,0.14304513060297955;16.673332000533065,0.1412327209075944;16.941074346097416,0.13900063224581805",0.04849195994082213,196
29,1,"19.621416870348583,0.12001274222910463;19.183326093250876,0.1227534804748707;19.183326093250876,0.1227534804748707;19.1049731745428,0.12325691449641632;19.131126469708992,0.1230884155598167",0.002229457831254519,106
6,1,"15.491933384829668,0.15200298029533776;15.588457268119896,0.15106177632130502;16.0,0.14717625281443433;15.297058540778355,0.15393940205913142;15.394804318340652,0.15296199914834424",0.12038289390932605,278
22,1,"16.30950643030009,0.14438328070162337;17.0,0.13851882617829114;16.73320053068151,0.1407274143827548;16.703293088490067,0.1409793884688291;16.673332000533065,0.1412327209075944",0.03085647473363253,357
17,1,"17.05872210923198,0.13804199575749865;17.029386365926403,0.1382797943760698;17.204650534085253,0.13687113495073103;17.291616465790582,0.1361827594134812;17.08800749063506,0.13780541975543306",0.06362346460522426,422
50,1,"16.61324772583615,0.14174350999226015;15.811388300841896,0.14893189644236138;16.522711641858304,0.14252019257331197;16.73320053068151,0.1407274143827548;16.911534525287763,0.139243428295037",0.0302675552591733,206;281
35,1,"18.138357147217054,0.12982543159330429;17.88854381999832,0.13163844238670797;17.944358444926362,0.13122899056314594;17.86057109949175,0.1318446107861556;17.11724276862369,0.1375700559290653",0.031448490727031535,251
13,1,"16.06237840420901,0.14660469239187446;16.278820596099706,0.14465544546852172;16.0,0.14717625281443433;16.09347693943108,0.14632139803558164;16.0312195418814,0.14688963861289567",0.09653430584777378,186
47,1,"17.944358444926362,0.13122899056314594;18.083141320025124,0.13022184604746967;17.832554500127006,0.132051750915113;18.027756377319946,0.13062191410537705;18.24828759089466,0.12904334356314798",0.20583688746017573,161
18,1,"16.0312195418814,0.14688963861289567;16.34013463836819,0.14411264638552046;16.30950643030009,0.14438328070162337;16.492422502470642,0.14278193786741677;16.3707055437449,0.14384352823026036",0.04550311326012718,414
15,1,"18.734993995195193,0.12569099545133935;17.804493814764857,0.13225987043103418;18.708286933869708,0.12587042594304854;18.547236990991408,0.1269633879253665;18.138357147217054,0.12982543159330429",0.06813452245726659,121
42,1,"17.804493814764857,0.13225987043103418;18.466185312619388,0.1275206549249626;18.138357147217054,0.12982543159330429;18.65475810617763,0.12623160437824907;18.193405398660254,0.12943261546869925",0.024171748469813032,171
49,1,"17.320508075688775,0.13595559868917453;17.832554500127006,0.132051750915113;17.05872210923198,0.13804199575749865;17.233687939614086,0.13664051787882617;17.08800749063506,0.13780541975543306",0.04331018844106376,166
30,1,"17.435595774162696,0.13505819219097112;17.69180601295413,0.13310229850512292;17.146428199482248,0.13733589396198886;17.204650534085253,0.13687113495073103;17.233687939614086,0.13664051787882617",0.19656738263105378,144
3,1,"18.027756377319946,0.13062191410537705;17.804493814764857,0.13225987043103418;18.193405398660254,0.12943261546869925;18.33030277982336,0.1284659655280196;18.16590212458495,0.129628577148615",0.0001,
8,1,"17.291616465790582,0.1361827594134812;17.320508075688775,0.13595559868917453;16.792855623746664,0.14022749303584878;16.852299546352718,0.1397328618894977;16.583123951777,0.1420009916031903",0.05815744365266241,296
27,1,"15.297058540778355,0.15393940205913142;15.588457268119896,0.15106177632130502;15.0,0.15698800300206328;15.066519173319364,0.15629489585099368;15.329709716755891,0.15361152223626592",0.008866017820611517,437
26,1,"17.0,0.13851882617829114;16.941074346097416,0.13900063224581805;17.029386365926403,0.1382797943760698;17.320508075688775,0.13595559868917453;17.08800749063506,0.13780541975543306",0.04331943662849354,333
9,1,"17.46424919657298,0.13483660353936297;17.52141546793523,0.13439667870100722;17.74823934929885,0.13267907867852693;17.291616465790582,0.1361827594134812;17.204650534085253,0.13687113495073103",0.12248116897257502,203
2,1,"16.431676725154983,0.14330978416986467;16.673332000533065,0.1412327209075944;16.431676725154983,0.14330978416986467;16.703293088490067,0.1409793884688291;16.822603841260722,0.1399795220318565",0.06139576012992813,308
48,1,"16.30950643030009,0.14438328070162337;16.278820596099706,0.14465544546852172;16.55294535724685,0.14225988150199587;16.3707055437449,0.14384352823026036;16.24807680927192,0.1449291551654395",0.009023310388692321,385
43,1,"16.852299546352718,0.1397328618894977;16.76305461424021,0.14047678655359927;16.941074346097416,0.13900063224581805;16.703293088490067,0.1409793884688291;16.73320053068151,0.1407274143827548",0.030277367496907976,328
31,1,"17.146428199482248,0.13733589396198886;16.852299546352718,0.1397328618894977;16.911534525287763,0.139243428295037;17.204650534085253,0.13687113495073103;16.97056274847714,0.1387591018596163",0.12438173633310314,285
14,1,"16.34013463836819,0.14411264638552046;15.748015748023622,0.14953122239076244;15.905973720586866,0.1480462677983141;16.0,0.14717625281443433;16.186414056238647,0.1454812682320667",0.16715229421439312,247
