simulation,permutation,lambda_pairs,threshold,predicted_changepoints
36,1,"11.0,0.24337567255379097;11.224972160321824,0.23849790982599162;11.090536506409418,0.24138889913436906;11.0,0.24337567255379097;11.180339887498949,0.23945000107600284;11.045361017187261,0.24237617891582883;11.090536506409418,0.24138889913436906",0.12919694630184364,194
7,1,"11.445523142259598,0.23390214364314116;11.575836902790225,0.23126901498123284;11.313708498984761,0.23662730910310567;11.313708498984761,0.23662730910310567;11.445523142259598,0.23390214364314116;12.24744871391589,0.21858694497327175;11.74734012447073,0.22789264375813903",0.032129132212764436,81;115
25,1,"11.40175425099138,0.23480004384929842;10.723805294763608,0.24964388335164325;10.770329614269007,0.24856550300419009;10.677078252031311,0.2507364219778362;11.532562594670797,0.2321368192121329;11.224972160321824,0.23849790982599162;10.488088481701515,0.25525455880377745",0.11531104535114484,195
10,1,"12.328828005937952,0.217144111086821;12.206555615733702,0.21931923159724084;11.575836902790225,0.23126901498123284;12.0,0.22309436650764172;12.649110640673518,0.21164589939495965;12.649110640673518,0.21164589939495965;12.24744871391589,0.21858694497327175",0.26065065812852084,57
44,1,"10.954451150103322,0.2443876339771208;11.180339887498949,0.23945000107600284;10.63014581273465,0.2518434314310687;11.575836902790225,0.23126901498123284;11.532562594670797,0.2321368192121329;11.090536506409418,0.24138889913436906;11.661903789690601,0.2295622092559492",0.3062439810664924,170
40,1,"11.916375287812984,0.22465996021706658;11.874342087037917,0.22545521920023426;12.206555615733702,0.21931923159724084;11.74734012447073,0.22789264375813903;11.704699910719626,0.22872285650312807;11.704699910719626,0.22872285650312807;11.532562594670797,0.2321368192121329",0.045037015360644916,99
21,1,"10.862780491200215,0.24645001344364895;11.916375287812984,0.22465996021706658;10.677078252031311,0.2507364219778362;10.392304845413264,0.2576071851157519;11.445523142259598,0.23390214364314116;11.532562594670797,0.2321368192121329;11.313708498984761,0.23662730910310567",0.1619966461549343,134
32,1,"10.862780491200215,0.24645001344364895;11.313708498984761,0.23662730910310567;11.180339887498949,0.23945000107600284;11.135528725660043,0.24041358646246203;10.908712114635714,0.2454123245676193;11.489125293076057,0.2330144662714297;11.224972160321824,0.23849790982599162",0.347853273660907,93
39,1,"10.677078252031311,0.2507364219778362;10.392304845413264,0.2576071851157519;10.954451150103322,0.2443876339771208;10.862780491200215,0.24645001344364895;10.816653826391969,0.2475009777570641;10.583005244258363,0.2529652340051646;10.583005244258363,0.2529652340051646",0.15378300628369002,188
14,1,"11.704699910719626,0.22872285650312807;11.61895003862225,0.23041087096447738;11.61895003862225,0.23041087096447738;11.532562594670797,0.2321368192121329;11.916375287812984,0.22465996021706658;11.61895003862225,0.23041087096447738;12.12435565298214,0.22080615867064451",0.21669610952532542,179
