"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"158","0.632"
2,1,"189","0.756"
3,1,"85","0.34"
4,1,"174","0.696"
5,1,"90","0.36"
6,1,"135","0.54"
7,1,"82","0.328"
8,1,"90","0.36"
9,1,"155","0.62"
10,1,"59","0.236"
11,1,"111","0.444"
12,1,"110","0.44"
13,1,"76","0.304"
14,1,"179","0.716"
15,1,"108","0.432"
16,1,"121","0.484"
17,1,"86","0.344"
18,1,"53","0.212"
19,1,"162","0.648"
20,1,"126","0.504"
21,1,"131","0.524"
22,1,"54","0.216"
23,1,"179","0.716"
24,1,"87","0.348"
25,1,"198","0.792"
26,1,"187","0.748"
27,1,"133","0.532"
28,1,"175","0.7"
29,1,"164","0.656"
30,1,"97","0.388"
31,1,"174","0.696"
32,1,"93","0.372"
33,1,"117","0.468"
34,1,"88","0.352"
35,1,"138","0.552"
36,1,"194","0.776"
37,1,"171","0.684"
38,1,"116","0.464"
39,1,"189","0.756"
40,1,"107","0.428"
41,1,"133","0.532"
42,1,"71","0.284"
43,1,"76","0.304"
44,1,"170","0.68"
45,1,"87","0.348"
46,1,"86","0.344"
47,1,"148","0.592"
48,1,"108","0.432"
49,1,"110","0.44"
50,1,"143","0.572"
