"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"195","0.0975"
2,1,"1623","0.8115"
3,1,"1390","0.695"
4,1,"275","0.1375"
5,1,"1077","0.5385"
6,1,"1699","0.8495"
7,1,"399","0.1995"
8,1,"1289","0.6445"
9,1,"1172","0.586"
10,1,"983","0.4915"
11,1,"489","0.2445"
12,1,"1563","0.7815"
13,1,"473","0.2365"
14,1,"769","0.3845"
15,1,"1122","0.561"
16,1,"1665","0.8325"
17,1,"332","0.166"
18,1,"625","0.3125"
19,1,"1579","0.7895"
20,1,"277","0.1385"
21,1,"1477","0.7385"
22,1,"627","0.3135"
23,1,"1737","0.8685"
24,1,"1172","0.586"
25,1,"1864","0.932"
26,1,"997","0.4985"
27,1,"1558","0.779"
28,1,"1259","0.6295"
29,1,"1727","0.8635"
30,1,"1697","0.8485"
31,1,"1078","0.539"
32,1,"663","0.3315"
33,1,"868","0.434"
34,1,"1865","0.9325"
35,1,"607","0.3035"
36,1,"657","0.3285"
37,1,"1510","0.755"
38,1,"1909","0.9545"
39,1,"1164","0.582"
40,1,"252","0.126"
41,1,"64","0.032"
42,1,"490","0.245"
43,1,"1127","0.5635"
44,1,"1507","0.7535"
45,1,"948","0.474"
46,1,"1909","0.9545"
47,1,"755","0.3775"
48,1,"194","0.097"
49,1,"859","0.4295"
50,1,"1763","0.8815"
