"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"158","0.079"
2,1,"1707","0.8535"
3,1,"636","0.318"
4,1,"1052","0.526"
5,1,"486","0.243"
6,1,"498","0.249"
7,1,"1173","0.5865"
8,1,"876","0.438"
9,1,"464","0.232"
10,1,"117","0.0585"
11,1,"841","0.4205"
12,1,"1793","0.8965"
13,1,"1723","0.8615"
14,1,"1619","0.8095"
15,1,"1247","0.6235"
16,1,"1738","0.869"
17,1,"733","0.3665"
18,1,"722","0.361"
19,1,"1604","0.802"
20,1,"1902","0.951"
21,1,"475","0.2375"
22,1,"1603","0.8015"
23,1,"1336","0.668"
24,1,"1349","0.6745"
25,1,"825","0.4125"
26,1,"428","0.214"
27,1,"1013","0.5065"
28,1,"1351","0.6755"
29,1,"1072","0.536"
30,1,"1947","0.9735"
31,1,"536","0.268"
32,1,"1583","0.7915"
33,1,"1211","0.6055"
34,1,"1205","0.6025"
35,1,"1560","0.78"
36,1,"449","0.2245"
37,1,"300","0.15"
38,1,"1653","0.8265"
39,1,"521","0.2605"
40,1,"1903","0.9515"
41,1,"1335","0.6675"
42,1,"1784","0.892"
43,1,"347","0.1735"
44,1,"172","0.086"
45,1,"1136","0.568"
46,1,"702","0.351"
47,1,"1424","0.712"
48,1,"262","0.131"
49,1,"844","0.422"
50,1,"398","0.199"
