simulation,permutation,lambda_pairs,threshold,predicted_changepoints
48,1,"29.30870177950569,0.10115110648838238;28.965496715920477,0.10234962113063187;29.257477676655586,0.1013282022291508;29.03446228191595,0.10210651004828566;29.103264421710495,0.10186512316204226;29.512709126747414,0.10045189691000593;29.393876913398138,0.10085799921764362;29.427877939124322,0.10074146769494312;29.376861643136763,0.10091641682996576;29.29163703175362,0.10121003518926706",0.002444615316627664,256;847;1900
29,1,"32.802438933713454,0.09037765822004411;32.09361307176243,0.09237375698728771;32.66496594212215,0.09075801946305107;32.7414110874898,0.09054611625666227;32.54228019054596,0.09110018097614091;32.58834147360065,0.0909714174051051;32.66496594212215,0.09075801946305107;32.357379374726875,0.09162075767639469;33.04542328371661,0.08971310759986106;32.83291031876401,0.09029378102497204",0.062075957587535674,304
26,1,"28.600699292150182,0.10365507445996942;28.106938645110393,0.10547600548630928;27.712812921102035,0.10697606277555496;28.106938645110393,0.10547600548630928;28.91366458960192,0.10253309833998592;27.694764848252458,0.10704577673719043;28.600699292150182,0.10365507445996942;27.784887978899608,0.10669856279378934;27.784887978899608,0.10669856279378934;27.622454633866266,0.1073260017630834",0.09765971450108238,1302
22,1,"30.870698080866262,0.09603306044356974;31.352830813181765,0.09455629803891913;31.22498999199199,0.09494342882080442;31.11269837220809,0.09528609763347318;30.983866769659336,0.09568229933257029;30.643106892089126,0.09674631313250975;31.336879231984796,0.09460443054294695;31.160872901765767,0.09513878587679196;31.25699921617557,0.09484620050157698;31.20897306865447,0.09499215524373027",0.058465771822236084,1608
7,1,"30.0,0.09882025382450074;29.274562336608895,0.10126906700250386;29.359836511806396,0.10097493606760624;29.171904291629644,0.1016254401871757;29.171904291629644,0.1016254401871757;29.32575659723036,0.10109228060001738;29.5296461204668,0.10039428182243852;29.393876913398138,0.10085799921764362;29.29163703175362,0.10121003518926706;29.58039891549808,0.10022202956775451",0.047564977300568814,401
43,1,"29.916550603303182,0.09909590360352875;29.748949561287034,0.0996541948019883;30.01666203960727,0.09876539939128456;29.732137494637012,0.09971054436532754;29.715315916207253,0.09976698962564533;29.647934160747187,0.09999373307635234;30.133038346638727,0.09838395918232115;30.14962686336267,0.09832982770136915;30.380915061926625,0.09758124825049361;29.782545223670862,0.09954178168690507",0.15868674717794912,1415
17,1,"33.45145736735546,0.08862416911103303;33.0,0.08983659438590977;32.863353450309965,0.0902101369301087;32.848135411313685,0.0902519299075326;32.71085446759225,0.09063069928889075;32.89376840679705,0.09012672485778267;33.12099032335839,0.08950842308130653;33.166247903554,0.08938628280642331;33.166247903554,0.08938628280642331;32.93933818400121,0.09000203945126457",0.1355288095078086,1187
50,1,"29.93325909419153,0.09904058911213902;29.46183972531247,0.10062533916332274;29.866369046136157,0.09926240481912738;29.966648127543394,0.09893023744654805;29.597297173897484,0.10016480887820986;30.066592756745816,0.09860138256170964;29.393876913398138,0.10085799921764362;29.748949561287034,0.0996541948019883;29.715315916207253,0.09976698962564533;29.832867780352597,0.09937387302361393",0.05605994231184961,1753
28,1,"31.496031496047245,0.09412638589426991;31.622776601683793,0.09374912431241626;31.622776601683793,0.09374912431241626;31.622776601683793,0.09374912431241626;31.76476034853718,0.09333007969227596;31.575306807693888,0.0938900651952697;31.52776554086889,0.09403164366000036;31.32091952673165,0.09465263662533283;31.304951684997057,0.09470091647372882;31.496031496047245,0.09412638589426991",0.03164528022273509,1663
31,1,"28.583211855912904,0.10371849145853582;28.372521918222215,0.10448868885465577;28.705400188814647,0.10327699998031074;28.53068523537421,0.10390944312333963;28.21347195933177,0.10507773091551255;28.26658805020514,0.10488027806785499;28.879058156387302,0.10265596608729179;28.548204847240395,0.10384567543207872;28.548204847240395,0.10384567543207872;28.30194339616981,0.10474925955566118",0.009768828974146188,1789;1898
35,1,"27.27636339397171,0.10868778846780666;27.459060435491963,0.10796464145958706;27.23967694375247,0.10883416939403046;27.748873851023216,0.10683704249229217;26.90724809414742,0.11017877429761583;27.03701166919155,0.10964997356246911;27.60434748368452,0.10739640255895366;27.2213151776324,0.10890758199556147;27.110883423451916,0.1093511992372232;27.712812921102035,0.10697606277555496",0.13457850100031726,1612
38,1,"29.765752132274432,0.09959794066552598;29.614185789921695,0.10010768608549549;29.631064780058107,0.10005066091078245;29.732137494637012,0.09971054436532754;29.171904291629644,0.1016254401871757;29.782545223670862,0.09954178168690507;29.5296461204668,0.10039428182243852;29.664793948382652,0.0999369023055916;29.748949561287034,0.0996541948019883;30.0,0.09882025382450074",0.09126834221073832,725
47,1,"29.647934160747187,0.09999373307635234;30.24896692450835,0.09800690457078172;30.380915061926625,0.09758124825049361;30.215889859476256,0.09811419185476238;30.610455730027933,0.09684950922918902;29.664793948382652,0.0999369023055916;29.966648127543394,0.09893023744654805;29.30870177950569,0.10115110648838238;30.479501308256342,0.0972656207446532;29.949958263743873,0.09898536714569811",0.06316299809253643,1366
13,1,"31.74901573277509,0.09337636289853873;32.01562118716424,0.09259878474335516;31.54362059117501,0.09398437969940691;31.874754901018456,0.09300801289111396;32.046840717924134,0.09250857645623978;31.78049716414141,0.09328386524047366;31.827660925679098,0.09314563271418813;31.874754901018456,0.09300801289111396;31.670175244226233,0.09360881624030476;31.701734968294716,0.0935156267535503",0.05251128947142396,1181
3,1,"33.090784215548595,0.08959012864198068;33.331666624997915,0.08894267568701893;33.436506994600975,0.08866379539028166;33.0,0.08983659438590977;33.36165463522455,0.08886272719833482;33.45145736735546,0.08862416911103303;33.03028912982749,0.0897542132641485;32.7566787083184,0.09050391345024165;33.61547262794322,0.08819175763337804;33.0,0.08983659438590977",0.025520483692836236,981
8,1,"31.74901573277509,0.09337636289853873;31.51190251317746,0.09407897899834199;31.654383582688826,0.09365551557782692;31.591137997862628,0.09384301429519885;31.843366656181317,0.09309969158551719;31.496031496047245,0.09412638589426991;31.85906464414798,0.09305381836687333;31.71750305430741,0.09346913625763527;31.843366656181317,0.09309969158551719;31.827660925679098,0.09314563271418813",0.1210459979654111,1501
18,1,"33.36165463522455,0.08886272719833482;32.78719262151,0.09041968456884883;33.421549934136806,0.0887034748710732;33.0,0.08983659438590977;33.37663853655727,0.08882283371610061;33.12099032335839,0.08950842308130653;33.18132004607411,0.08934568035926536;33.15116890850155,0.08942694065833541;32.60368077380221,0.0909286173945474;33.12099032335839,0.08950842308130653",0.06451735582165442,618
44,1,"29.597297173897484,0.10016480887820986;29.0,0.10222784878396628;29.410882339705484,0.10079968293684008;29.189039038652847,0.1015657833342583;29.614185789921695,0.10010768608549549;29.614185789921695,0.10010768608549549;29.46183972531247,0.10062533916332274;28.809720581775867,0.10290303254833859;29.444863728670914,0.10068335320052232;29.410882339705484,0.10079968293684008",0.13816018245874387,154
25,1,"31.096623610932426,0.09533535382576955;31.654383582688826,0.09365551557782692;31.25699921617557,0.09484620050157698;31.400636936215164,0.09441234013045971;31.25699921617557,0.09484620050157698;31.272991542223778,0.09479769822251591;30.854497241083024,0.09608348473711709;30.773365106858236,0.09633680309061558;31.336879231984796,0.09460443054294695;31.22498999199199,0.09494342882080442",0.0901612390132312,1395
21,1,"30.822070014844883,0.0961845720714791;30.773365106858236,0.09633680309061558;30.72458299147443,0.0964897592119526;30.643106892089126,0.09674631313250975;30.380915061926625,0.09758124825049361;30.822070014844883,0.0961845720714791;30.083217912982647,0.09854689160283026;31.240998703626616,0.09489477730399429;31.096623610932426,0.09533535382576955;30.72458299147443,0.0964897592119526",0.15522562355596403,1222
4,1,"30.298514815086232,0.09784663152066071;31.416556144810016,0.09436450007665059;30.033314835362415,0.09871063620471145;30.116440692751194,0.09843818016146183;30.18277654557314,0.0982218322512094;30.692018506445613,0.09659213564309649;29.966648127543394,0.09893023744654805;30.24896692450835,0.09800690457078172;30.083217912982647,0.09854689160283026;30.18277654557314,0.0982218322512094",0.03919249460164409,1752
40,1,"34.219877264537345,0.08663408088278846;34.62657938636157,0.08561653121020373;34.17601498127012,0.08674526905374282;34.08812109811862,0.08696893578269539;34.292856398964496,0.0864497136151231;33.926390907374746,0.08738352460858402;34.02939905434711,0.08711901171103127;33.896902513356586,0.08745954334815287;34.38022687534217,0.08623001894328008;34.10278580995987,0.08693153782965132",0.0382257620960067,650
39,1,"31.496031496047245,0.09412638589426991;31.464265445104548,0.09422141508141513;31.192947920964443,0.09504095676518413;31.464265445104548,0.09422141508141513;31.352830813181765,0.09455629803891913;31.575306807693888,0.0938900651952697;31.74901573277509,0.09337636289853873;30.854497241083024,0.09608348473711709;31.336879231984796,0.09460443054294695;31.827660925679098,0.09314563271418813",0.07348609685141044,898
32,1,"29.614185789921695,0.10010768608549549;29.88310559496787,0.0992068111968337;29.899832775452108,0.09915131087853368;30.298514815086232,0.09784663152066071;29.223278392404914,0.10144678413307383;30.610455730027933,0.09684950922918902;29.916550603303182,0.09909590360352875;29.410882339705484,0.10079968293684008;29.949958263743873,0.09898536714569811;30.099833886584822,0.0984924908856828",0.0925762912985888,769
14,1,"32.58834147360065,0.0909714174051051;32.51153641401772,0.09118632773862997;32.66496594212215,0.09075801946305107;32.90896534380867,0.09008510549520418;33.18132004607411,0.08934568035926536;32.41913015489465,0.09144624178904517;33.04542328371661,0.08971310759986106;33.015148038438355,0.0897953754828976;32.87856444554719,0.09016840195821034;32.78719262151,0.09041968456884883",0.059486651372994914,1437
36,1,"32.28002478313795,0.09184031408438195;32.155870381627054,0.09219491121064209;32.14031735997639,0.09223952525206801;31.906112267087632,0.09291660450255257;32.46536616149585,0.09131600734111131;32.046840717924134,0.09250857645623978;32.0624390837628,0.09246357106488422;31.85906464414798,0.09305381836687333;32.38826948140329,0.09153337495963597;31.906112267087632,0.09291660450255257",0.15458361633613538,1768
10,1,"30.14962686336267,0.09832982770136915;30.066592756745816,0.09860138256170964;31.160872901765767,0.09513878587679196;30.331501776206203,0.0977402186218367;30.72458299147443,0.0964897592119526;31.176914536239792,0.09508983357827108;30.44667469527666,0.09737048936890755;30.495901363953813,0.09721331333525336;30.24896692450835,0.09800690457078172;31.176914536239792,0.09508983357827108",0.06917625447965138,1380
15,1,"29.732137494637012,0.09971054436532754;29.88310559496787,0.0992068111968337;30.099833886584822,0.0984924908856828;29.88310559496787,0.0992068111968337;29.732137494637012,0.09971054436532754;29.664793948382652,0.0999369023055916;29.899832775452108,0.09915131087853368;29.748949561287034,0.0996541948019883;29.832867780352597,0.09937387302361393;29.715315916207253,0.09976698962564533",0.09604120666027746,1671
24,1,"33.60059523282288,0.08823080645425688;33.85262175962151,0.08757394436938783;33.57082066318904,0.08830905995651646;33.51119216023208,0.08846619363942351;33.77869150810907,0.0877656144265779;33.645207682521445,0.08811381527821939;33.63034344160047,0.08815276061284066;33.49626844888845,0.0885056082965982;33.97057550292606,0.08726986725555078;33.74907406137241,0.08784263560368821",0.01843125679254818,1615
1,1,"29.0516780926679,0.10204600248146195;28.89636655359978,0.10259447703350456;28.42534080710379,0.10429453194081444;28.965496715920477,0.10234962113063187;28.809720581775867,0.10290303254833859;29.410882339705484,0.10079968293684008;29.068883707497267,0.10198560235632334;29.206163733020468,0.1015062314186522;29.0516780926679,0.10204600248146195;29.086079144497972,0.10192530935527686",0.12812151607916178,368
45,1,"28.74021572639983,0.10315189151526898;28.982753492378876,0.10228868059463628;29.017236257093817,0.10216712537570725;28.372521918222215,0.10448868885465577;28.635642126552707,0.10352858866000626;28.879058156387302,0.10265596608729179;28.548204847240395,0.10384567543207872;28.879058156387302,0.10265596608729179;28.35489375751565,0.10455364918971821;28.930952282978865,0.10247182967700684",0.07424385124572658,1510
11,1,"33.34666400106613,0.0889026744816285;33.301651610693426,0.08902284035014837;33.12099032335839,0.08950842308130653;33.301651610693426,0.08902284035014837;33.57082066318904,0.08830905995651646;33.2264954516723,0.08922420419111077;33.24154027718932,0.08918382210975241;33.331666624997915,0.08894267568701893;33.06055050963308,0.08967205836064962;32.90896534380867,0.09008510549520418",0.08445339210463391,263
33,1,"31.827660925679098,0.09314563271418813;31.921779399024736,0.09287100125833199;31.85906464414798,0.09305381836687333;31.71750305430741,0.09346913625763527;31.827660925679098,0.09314563271418813;31.304951684997057,0.09470091647372882;31.796226191169293,0.09323771937307382;31.811947441173732,0.09319164192060668;31.591137997862628,0.09384301429519885;31.68595903550972,0.09356218669009372",0.019020449825842393,1760
37,1,"28.75760768909681,0.10308950754130451;28.39013913315678,0.10442384945104632;28.24889378365107,0.10494597195344962;28.35489375751565,0.10455364918971821;28.583211855912904,0.10371849145853582;27.83882181415011,0.10649184920707208;28.42534080710379,0.10429453194081444;27.982137159266443,0.10594643282109978;28.513154858766505,0.10397332843101856;28.53068523537421,0.10390944312333963",0.009538957888070963,809;1010;1386;1679;1809
41,1,"31.953090617340916,0.09277999584572681;31.654383582688826,0.09365551557782692;31.622776601683793,0.09374912431241626;31.843366656181317,0.09309969158551719;31.76476034853718,0.09333007969227596;31.827660925679098,0.09314563271418813;31.937438845342623,0.09282546509415376;31.921779399024736,0.09287100125833199;31.52776554086889,0.09403164366000036;31.575306807693888,0.0938900651952697",0.11104647730978422,296
5,1,"31.984371183438952,0.09268925744177374;32.0,0.09264398796046945;31.71750305430741,0.09346913625763527;31.76476034853718,0.09333007969227596;31.96873472629156,0.0927345933493228;31.874754901018456,0.09300801289111396;32.61901286060018,0.09088587773653659;31.796226191169293,0.09323771937307382;31.96873472629156,0.0927345933493228;32.41913015489465,0.09144624178904517",0.03708786865384534,1375
34,1,"33.391615714128,0.08878299391426861;33.88214869219483,0.08749762719204275;33.391615714128,0.08878299391426861;33.80828300875393,0.08768879549332334;33.689761055846034,0.08799728825089388;33.689761055846034,0.08799728825089388;33.88214869219483,0.08749762719204275;33.61547262794322,0.08819175763337804;33.823069050575526,0.08765046159182226;33.67491648096547,0.08803607921079025",0.08873884729352984,832
20,1,"32.18695387886216,0.09210587699266383;32.046840717924134,0.09250857645623978;31.71750305430741,0.09346913625763527;32.449961479175904,0.09135935697912918;32.18695387886216,0.09210587699266383;32.38826948140329,0.09153337495963597;32.109188716004645,0.09232894798295947;32.51153641401772,0.09118632773862997;32.32645975048923,0.09170839113275174;31.984371183438952,0.09268925744177374",0.23467055308669016,751
16,1,"34.438350715445125,0.08608448294260028;34.597687784012386,0.08568802728212864;34.38022687534217,0.08623001894328008;34.42382895611701,0.0861207978494856;34.438350715445125,0.08608448294260028;34.46737587922817,0.08601199073358087;34.292856398964496,0.0864497136151231;34.698703145794944,0.08543857106931375;34.23448553724738,0.0865971130633614;33.94112549695428,0.08734558949735041",0.05127300987265011,891
19,1,"26.5329983228432,0.11173285350802915;26.739483914241877,0.11087003863810643;26.419689627245813,0.11221205307717597;26.30589287593181,0.11269747157860004;26.457513110645905,0.11205163547824648;26.795522013948524,0.11063817354227258;26.5329983228432,0.11173285350802915;26.1725046566048,0.1132718344549758;26.324893162176366,0.11261613091727846;25.96150997149434,0.11419241862242037",0.07495563758965997,302
9,1,"28.160255680657446,0.1052763031825501;27.477263328068172,0.1078931180059209;27.622454633866266,0.1073260017630834;27.09243436828813,0.10942566380100248;27.820855486487112,0.10656062018563607;28.071337695236398,0.10560977346078185;27.85677655436824,0.10642321120496408;27.60434748368452,0.10739640255895366;27.459060435491963,0.10796464145958706;27.982137159266443,0.10594643282109978",0.05497625204336175,437
2,1,"32.264531609803356,0.09188441507808055;32.264531609803356,0.09188441507808055;32.341923257592455,0.0916645429872221;32.046840717924134,0.09250857645623978;32.449961479175904,0.09135935697912918;33.18132004607411,0.08934568035926536;32.48076353782343,0.09127271935226446;32.54228019054596,0.09110018097614091;32.7414110874898,0.09054611625666227;32.63433774416144,0.09084319828936673",0.09900795025137651,698
46,1,"32.7566787083184,0.09050391345024165;32.984845004941285,0.08987787010340385;32.90896534380867,0.09008510549520418;33.27160951922825,0.08910322216368051;32.58834147360065,0.0909714174051051;32.71085446759225,0.09063069928889075;32.264531609803356,0.09188441507808055;32.78719262151,0.09041968456884883;32.2490309931942,0.09192857966370122;32.863353450309965,0.0902101369301087",0.09296976925695846,393
12,1,"31.76476034853718,0.09333007969227596;31.51190251317746,0.09407897899834199;31.937438845342623,0.09282546509415376;32.155870381627054,0.09219491121064209;31.73326330524486,0.093422715029911;31.701734968294716,0.0935156267535503;31.464265445104548,0.09422141508141513;31.432467291003423,0.09431673267289298;31.68595903550972,0.09356218669009372;32.046840717924134,0.09250857645623978",0.0011676277985077374,1844
30,1,"32.66496594212215,0.09075801946305107;33.19638534539566,0.08930513319114164;33.015148038438355,0.0897953754828976;32.68026927673638,0.09071551980281244;32.69556544854363,0.0906730797912252;32.93933818400121,0.09000203945126457;33.03028912982749,0.0897542132641485;33.090784215548595,0.08959012864198068;32.29551052391029,0.09179627653014331;32.984845004941285,0.08987787010340385",0.06366552247161288,1703
