"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"110","0.44"
2,1,"99","0.396"
3,1,"123","0.492"
4,1,"104","0.416"
5,1,"83","0.332"
6,1,"196","0.784"
7,1,"188","0.752"
8,1,"198","0.792"
9,1,"195","0.78"
10,1,"115","0.46"
11,1,"149","0.596"
12,1,"104","0.416"
13,1,"184","0.736"
14,1,"175","0.7"
15,1,"50","0.2"
16,1,"166","0.664"
17,1,"157","0.628"
18,1,"64","0.256"
19,1,"134","0.536"
20,1,"127","0.508"
21,1,"100","0.4"
22,1,"176","0.704"
23,1,"137","0.548"
24,1,"198","0.792"
25,1,"116","0.464"
26,1,"75","0.3"
27,1,"120","0.48"
28,1,"147","0.588"
29,1,"158","0.632"
30,1,"199","0.796"
31,1,"178","0.712"
32,1,"142","0.568"
33,1,"140","0.56"
34,1,"156","0.624"
35,1,"126","0.504"
36,1,"137","0.548"
37,1,"139","0.556"
38,1,"175","0.7"
39,1,"76","0.304"
40,1,"193","0.772"
41,1,"163","0.652"
42,1,"143","0.572"
43,1,"180","0.72"
44,1,"119","0.476"
45,1,"110","0.44"
46,1,"171","0.684"
47,1,"63","0.252"
48,1,"84","0.336"
49,1,"169","0.676"
50,1,"173","0.692"
