"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"670","0.67"
2,1,"80","0.08"
3,1,"465","0.465"
4,1,"375","0.375"
5,1,"210","0.21"
6,1,"826","0.826"
7,1,"72","0.072"
8,1,"552","0.552"
9,1,"722","0.722"
10,1,"808","0.808"
11,1,"650","0.65"
12,1,"425","0.425"
13,1,"156","0.156"
14,1,"700","0.7"
15,1,"381","0.381"
16,1,"811","0.811"
17,1,"262","0.262"
18,1,"430","0.43"
19,1,"886","0.886"
20,1,"188","0.188"
21,1,"87","0.087"
22,1,"832","0.832"
23,1,"196","0.196"
24,1,"847","0.847"
25,1,"639","0.639"
26,1,"659","0.659"
27,1,"711","0.711"
28,1,"176","0.176"
29,1,"625","0.625"
30,1,"146","0.146"
31,1,"795","0.795"
32,1,"241","0.241"
33,1,"662","0.662"
34,1,"216","0.216"
35,1,"330","0.33"
36,1,"702","0.702"
37,1,"85","0.085"
38,1,"476","0.476"
39,1,"245","0.245"
40,1,"408","0.408"
41,1,"55","0.055"
42,1,"373","0.373"
43,1,"61","0.061"
44,1,"886","0.886"
45,1,"455","0.455"
46,1,"623","0.623"
47,1,"174","0.174"
48,1,"71","0.071"
49,1,"597","0.597"
50,1,"500","0.5"
