"original_index","V2","V3","V4","V5"
1,0.224363719706533,0.665500404136153,0.772660104726075,0.320746389889121
2,-1.35933674754719,-1.59523356041436,-1.65030365968407,-0.4942070247859
3,-1.45906936652988,-1.92839707839246,-1.64978042068522,-0.712432944748503
5,-0.395758582062702,-0.410146811009195,-0.682930308829661,-0.503444117862822
6,-1.32953403387175,-1.28963655777362,-1.24449866218757,-0.732491329582337
7,-1.04992892419616,-1.00926221424539,-0.943292737506825,-0.3263081003921
8,0.00801302206801758,-0.991318689239821,-0.351984279679334,0.137773875434142
9,0.80455640780553,0.541888609489771,0.481019406592326,0.393456424602205
10,0.905892762493162,0.804425768890711,1.03692455187327,0.577246515994472
11,-0.495716283738787,-0.441385800306174,-0.905273591593662,-0.543789560500454
12,0.628953803559316,0.936786783369504,0.707598361629274,0.447202863743934
14,0.236979672651346,-0.103662151576286,-0.113907960023477,-0.0220459189193
15,-1.33443262333703,-1.93411214676128,-1.47946421278406,-0.757906783305601
16,0.624109526849605,0.595177666408077,0.755512957532079,0.409271938898413
17,-0.799653739771083,-2.05990668807761,-1.52169723530747,-0.332852403240867
18,-0.520490638635994,-0.971054233023688,-0.401637002327899,-0.465267014122468
22,-1.60932568896496,-2.11284371304991,-1.74993635218817,-1.0838920028993
23,0.410328546138982,0.49974534708995,0.199400510230307,0.26994137029334
24,-0.181584102967778,0.584038871875602,0.331682687187339,-0.383656469921781
25,0.546928066260451,0.368651171511435,0.530675866845852,0.8573909046961
26,-0.989075825570929,-1.35886148138894,-1.32539660850492,-0.401229715223764
27,-0.896924415594416,-0.90199075146237,-1.43593118564071,-0.605516474727556
29,0.18534826067703,-0.430938598157949,-0.0380503194713578,0.222226274477217
31,-0.0724930744584156,-0.5261346246145,-0.439940607489862,-0.104670734185251
32,-0.601866001125938,0.232473406187554,0.173196225176181,-0.719390464773677
37,-1.31427798782017,-1.75742097469577,-1.44548652280716,-0.836757716470219
38,-1.19283162318994,-0.641564314717694,-0.75528297129957,-0.469599973853862
40,0.320300393932909,0.537306310720123,0.507633169715626,0.251768357680692
41,-1.16430585804523,-1.51363122798239,-1.30299814598426,-0.589388779794361
42,0.31646785229447,-0.713590271509731,-0.15770810436222,0.21638316641971
43,-0.145166439301453,-1.39145851981348,-1.18245114016738,-0.445095340177069
47,-0.880599152634626,-0.744859132779913,-0.857736287737371,-0.508321471309915
52,-2.33213791916393,-2.68671472841078,-2.75493915172539,-1.48924221168749
53,-0.374050076789871,-1.35504745111269,-1.24281074945565,0.00946878493206799
54,0.397187401041286,0.758274574088563,0.406166295804883,0.166290515482133
55,-1.48426648618705,-1.26073245129326,-1.02245799457101,-0.896155612069685
58,-0.559605480667026,-0.204280499957278,-0.0840495165285926,-0.237510763418319
59,0.182182162660152,0.254121986603676,0.0813122592827917,0.536989273480429
60,1.01618739762342,1.0982345436741,1.02062420346261,0.443833983773987
62,-0.979193093999942,-0.64756922209714,-1.11291632725606,-0.688335388150859
63,-1.26274648159788,-1.18720492160721,-1.08700836777049,-0.522169169710557
64,0.392944015914203,0.928448763185304,0.987938159595369,0.216578882318966
65,-0.059897311464263,0.600289253190534,0.12125947694199,0.297545275862955
67,-0.692324975581308,-1.41807462072145,-1.15624231344599,-0.375939342599254
68,0.304916548279452,0.267870676320221,-0.0246282405797464,0.339908693288204
