"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"73","0.146"
2,1,"179","0.358"
3,1,"314","0.628"
4,1,"349","0.698"
5,1,"303","0.606"
6,1,"301","0.602"
7,1,"77","0.154"
8,1,"118","0.236"
9,1,"414","0.828"
10,1,"190","0.38"
11,1,"151","0.302"
12,1,"158","0.316"
13,1,"446","0.892"
14,1,"198","0.396"
15,1,"145","0.29"
16,1,"62","0.124"
17,1,"211","0.422"
18,1,"182","0.364"
19,1,"423","0.846"
20,1,"383","0.766"
21,1,"384","0.768"
22,1,"290","0.58"
23,1,"162","0.324"
24,1,"59","0.118"
25,1,"255","0.51"
26,1,"363","0.726"
27,1,"126","0.252"
28,1,"86","0.172"
29,1,"238","0.476"
30,1,"236","0.472"
31,1,"379","0.758"
32,1,"245","0.49"
33,1,"359","0.718"
34,1,"346","0.692"
35,1,"307","0.614"
36,1,"200","0.4"
37,1,"85","0.17"
38,1,"191","0.382"
39,1,"232","0.464"
40,1,"247","0.494"
41,1,"385","0.77"
42,1,"378","0.756"
43,1,"328","0.656"
44,1,"176","0.352"
45,1,"298","0.596"
46,1,"251","0.502"
47,1,"77","0.154"
48,1,"86","0.172"
49,1,"93","0.186"
50,1,"50","0.1"
