"original_index","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
1,0.0479428109323355,0.127140811697711,0.195126001465258,0.510619953413063,-0.367907877411965,-0.2027656291252,-0.814917322838839,-0.0291405531187508,-0.956109213994977,-0.423067977699589,-0.1338267495564,0.393452264127808,-0.123205002623772,-0.0181078902524039
3,0.637774762853548,0.450549544901213,0.442295565600806,0.609793379218358,0.285310399270856,0.0165113143872793,-0.488788566845452,0.390763741942007,-0.907269777287439,-0.3964145822838,0.56248354307247,0.41027409316888,-0.277744974294042,0.527620181143594
4,-0.260705651973905,-0.583536342806445,-0.675066738926785,-0.387856474053595,-0.630768529601561,0.62529771776228,-0.459291839958815,-0.239847631288727,-0.127515131951902,-0.394080541854871,-0.389089521176394,0.0528078627210136,-0.57955686624986,-0.322440442075311
7,-0.438644449717953,0.0572958724654587,0.0316544734842742,-0.211259941173043,0.279176783292451,-0.298345707095288,-0.173271917054506,-0.215591773670777,-0.426734351349378,0.312668350331681,-0.0763780437384022,-0.703664128711942,-0.429876413078909,-0.131085555311411
9,-0.484414379588295,-0.399500663879618,-1.06111477391879,-0.375070407784962,-0.0873544902299134,-1.22768183047592,-0.0517963170076203,-0.581218951323913,0.200501596367272,-0.236624160914289,-0.635079018890849,-0.170426540674835,-0.229657323661202,-0.58954252347428
10,0.421731361527045,0.341838035819818,-0.146381144312626,0.0866568944452739,-0.26299411683158,-0.353437109090076,-0.070892072601401,0.134130640262892,-0.872430142944044,-0.198933531832902,-0.00320262257549052,-0.0253970881723592,0.485544950952029,0.236687659059961
12,0.185842282755217,0.208777610564978,0.0510120624149242,-0.0429036473580464,0.112210575691534,0.403820131689007,0.288827667029588,0.152107453603357,0.00882117743547483,0.0272689153416507,0.185853890070197,0.0994322735258349,0.267593965690806,0.258046639861036
13,-0.381834629278782,-0.0806383235776395,-0.336534059160768,-0.609827786215389,-0.240622475367087,0.448810344047865,0.299752999860961,-0.232137666337025,-0.0241657234533303,0.265116534699093,-0.0019068805863054,-0.117090507592664,0.183022108135405,-0.147148286754323
16,-0.106741154534561,-0.0436630591752563,-0.151692587402736,-0.267640367083505,-0.126154577728995,0.406720288264987,-0.535892874699473,0.0414739336220804,0.146226962849916,-0.052921210426459,-0.0723066465912209,-0.475772745074466,-0.113693853167528,0.136581194882447
18,0.362203819197437,0.457570813810554,0.343818077839725,0.424867072059133,0.508853127300933,0.125324796591606,0.0610916094302775,0.0944916973278379,-0.86999863622651,-0.0279744047504405,0.174550228770915,0.222037987026263,0.0408385297327864,0.156434953022228
21,-0.119952134163845,-0.20822380082095,-0.633717468462264,0.666084038279337,-0.538580670300033,-0.120522287798064,0.361228052084341,-0.00296434512191509,-1.02654379992767,-0.00237240540457151,-0.343201816928153,-0.0652077684389193,0.871632470732766,0.132481203090002
22,0.651685740470778,0.499134698116008,0.224841221688357,0.841812911353117,0.608455723663114,0.518354514384234,0.615947393158557,0.24104179936571,-1.38487740574782,0.0402686432875008,0.315944898017487,0.41826729402556,0.239642854526026,0.370259153128422
23,-0.0892346167978047,0.0137983299381772,-0.227753192549583,0.097073982623019,0.26750972809901,0.389022830614291,0.302701726024221,0.403196235630782,-0.144754826747906,0.29890212657266,0.133578589279783,0.172326700067963,0.209818598774379,0.263450894293493
24,0.107270346281491,0.0289579902747001,0.205108433240161,-0.407066253163652,-0.29779601768402,-0.363829737531758,-0.638995389427494,0.318378587133675,-2.59258518559324,-0.339901756733189,0.163825927266392,-0.0235657101115799,-0.666263592974078,0.220706395127651
26,-0.390518630993254,-0.663374061065505,-0.521691536874323,-0.56542800768772,-0.683873521293783,-0.823296986120333,-1.13623659902334,-0.414966280272369,-0.792319143657056,-0.570864892648683,-0.688049442798036,-0.134365865396882,-0.669624356465078,-0.503479985748604
