"original_index","V2","V3","V4"
1,-0.903806163046279,-0.961787925084034,-1.42667909472104
2,-0.267078336999653,-0.214504833336377,-0.678227743175651
3,-1.09847824132022,-1.05455377231055,-0.942388784933807
4,-0.5565772936909,-0.452523285052433,0.257635191933419
5,1.01263968278962,1.1320471943341,1.53817199084857
7,-0.0231967822007406,-0.110645630185688,-0.569506282168929
9,-0.527748980026768,-0.497191828681496,-1.07602902948601
10,-0.685732403817705,-0.465638447726057,-0.83284267441329
13,0.0375480720698266,0.192327591926305,0.254796547647565
14,-0.355959245629829,-0.301581345359539,0.230722743807694
15,0.426407848748513,0.420726285403447,0.331298617068935
16,0.347486903994055,0.462465836325872,-0.17200770458666
17,0.436233890742808,0.100509587193997,-0.509984699472065
18,-0.336870161561675,-0.16524212668458,-0.301041913082154
19,-1.20627529617124,-1.27463948148467,-1.23136553548326
20,0.525082079358481,0.732110937470223,-0.173766436166711
21,-0.946670400824306,-0.70565585666013,-0.471008941346708
22,0.783972615204496,0.707015386978648,0.546643624718919
23,-0.361631059058917,-0.351854054402061,-0.191786023963604
24,-0.0267567332248553,-0.307168240964934,-0.771297474355213
25,0.388307575843014,0.339884872073486,-0.105710499817575
26,-0.549245963408822,-0.439827449819161,0.101971622969001
28,-0.547324913882212,-0.445668202084411,-0.641394194723798
29,-0.699317413525889,-0.476580060343681,0.198167104336845
30,0.443807869003171,0.493398987388359,0.0952705914753957
31,-0.117131123174024,-0.103300174791977,0.84892853407154
32,-0.730344710983084,-0.498025229683404,-0.0950232944246417
34,-0.481524266091181,-0.491278068953707,-0.488530172315006
37,-0.301411573613951,-0.0834841882596063,1.10710552262486
39,-0.264370903113179,-0.198085452035677,-0.199176814212653
40,-0.449719524620634,-0.536225984881998,0.050227952983734
41,-0.0867215133766893,-0.148653531836715,-0.439750748782916
43,-0.158155843539566,-0.279065376637818,-0.484251363656585
44,-0.131565803364345,0.0563596553628904,-0.753892955158339
45,-0.13289048653637,-0.419454489127595,-0.937312829136904
46,0.494138572597362,0.350596392122273,-0.670011224480816
47,-0.603934742937553,-0.374396360971911,-1.23710226513949
48,0.242287892241019,0.0691661422007528,-0.0167893074911884
49,0.407723846711247,0.412878197350874,0.718665360243648
50,-0.105909420479742,-0.0468052207184656,-0.453180121181956
51,-0.419622430740781,-0.524580404172328,-0.224747712858609
52,0.369417661753346,0.294447504547261,0.583062311749978
53,-0.0631963410416137,-0.115589863701957,-0.0552938554224934
54,-0.0664048413072699,-0.0469999606665476,-0.212555561356446
58,-0.195132391180377,0.0426903422121151,-0.0978331823244595
