"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"158","0.316"
2,1,"177","0.354"
3,1,"246","0.492"
4,1,"207","0.414"
5,1,"118","0.236"
6,1,"94","0.188"
7,1,"165","0.33"
8,1,"309","0.618"
9,1,"208","0.416"
10,1,"167","0.334"
11,1,"239","0.478"
12,1,"381","0.762"
13,1,"153","0.306"
14,1,"424","0.848"
15,1,"405","0.81"
16,1,"319","0.638"
17,1,"185","0.37"
18,1,"391","0.782"
19,1,"319","0.638"
20,1,"170","0.34"
21,1,"94","0.188"
22,1,"294","0.588"
23,1,"337","0.674"
24,1,"245","0.49"
25,1,"146","0.292"
26,1,"373","0.746"
27,1,"76","0.152"
28,1,"71","0.142"
29,1,"187","0.374"
30,1,"191","0.382"
31,1,"445","0.89"
32,1,"85","0.17"
33,1,"275","0.55"
34,1,"61","0.122"
35,1,"219","0.438"
36,1,"247","0.494"
37,1,"405","0.81"
38,1,"213","0.426"
39,1,"374","0.748"
40,1,"355","0.71"
41,1,"117","0.234"
42,1,"269","0.538"
43,1,"97","0.194"
44,1,"207","0.414"
45,1,"397","0.794"
46,1,"69","0.138"
47,1,"147","0.294"
48,1,"296","0.592"
49,1,"177","0.354"
50,1,"261","0.522"
