simulation,permutation,lambda_pairs,threshold,predicted_changepoints
23,1,"2.3348151486780315,0.18501213581282172;2.349010079323254,0.1816783107530798;2.3443260566941224,0.1827694815894582;2.365046449947016,0.1780076634703375;2.3275526879057282,0.1867493770792666",0.17780869144759817,161
12,1,"2.2759836263427493,0.19973322935837418;2.270492619559855,0.20118585380171194;2.26212951594555,0.20342546848283138;2.2946976768566785,0.1948862935866507;2.278704478832458,0.1990186180177904",0.22149756759123512,95;131;175;229
20,1,"2.154434690031884,0.23548200450309495;2.188931213415073,0.2245232817342631;2.2083928457304225,0.21863955230406132;2.21469368796771,0.21677875631736787;2.2115544864435845,0.21770319017562842",0.2656400136527936,16;49;83;114;137;176;196
27,1,"2.349010079323254,0.1816783107530798;2.3101522238683514,0.19100112710606343;2.3324068738997483,0.18558581823093187;2.3226473499241314,0.18793509932206562;2.3251064869700535,0.18733942397473924",0.08278271990828573,64;185;200
29,1,"2.3582403962533665,0.17955334512888976;2.3151907936421487,0.1897568068433219;2.3582403962533665,0.17955334512888976;2.329986101501426,0.1861648705529517;2.3275526879057282,0.1867493770792666",0.3176769409219847,140
18,1,"2.23606797749979,0.21062150781873276;2.2239800905693152,0.21407454954826813;2.2732464125922696,0.2004555942094206;2.2419914574577393,0.2089564895461759;2.2732464125922696,0.2004555942094206",0.2786793965612505,169
16,1,"2.307612190472001,0.19163253751291684;2.3226473499241314,0.18793509932206562;2.2973097500999025,0.1942222838416779;2.305058100333494,0.1922702515467844;2.3126783696051127,0.1903759171565557",0.06655277315257944,77;105
11,1,"2.3443260566941224,0.1827694815894582;2.3372110669088912,0.18444374081116036;2.3324068738997483,0.18558581823093187;2.3348151486780315,0.18501213581282172;2.3348151486780315,0.18501213581282172",0.302838007012011,76
24,1,"2.253608900881584,0.20574158260502684;2.244924096618746,0.20813865278942442;2.250732551659767,0.2065313804519334;2.267722024701544,0.20192415299401337;2.2300649840909545,0.21232697297106023",0.35840767483556946,115
15,1,"2.2973097500999025,0.1942222838416779;2.3024897811675307,0.1929143747967438;2.305058100333494,0.1922702515467844;2.307612190472001,0.19163253751291684;2.3226473499241314,0.18793509932206562",0.1426322854382506,118
