"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"195","0.78"
2,1,"164","0.656"
3,1,"128","0.512"
4,1,"63","0.252"
5,1,"148","0.592"
6,1,"84","0.336"
7,1,"60","0.24"
8,1,"144","0.576"
9,1,"170","0.68"
10,1,"196","0.784"
11,1,"77","0.308"
12,1,"94","0.376"
13,1,"119","0.476"
14,1,"65","0.26"
15,1,"114","0.456"
16,1,"79","0.316"
17,1,"106","0.424"
18,1,"169","0.676"
19,1,"154","0.616"
20,1,"196","0.784"
21,1,"189","0.756"
22,1,"83","0.332"
23,1,"160","0.64"
24,1,"112","0.448"
25,1,"151","0.604"
26,1,"184","0.736"
27,1,"200","0.8"
28,1,"139","0.556"
29,1,"140","0.56"
30,1,"150","0.6"
31,1,"129","0.516"
32,1,"190","0.76"
33,1,"54","0.216"
34,1,"62","0.248"
35,1,"84","0.336"
36,1,"198","0.792"
37,1,"113","0.452"
38,1,"165","0.66"
39,1,"180","0.72"
40,1,"170","0.68"
41,1,"190","0.76"
42,1,"159","0.636"
43,1,"182","0.728"
44,1,"166","0.664"
45,1,"130","0.52"
46,1,"138","0.552"
47,1,"148","0.592"
48,1,"51","0.204"
49,1,"79","0.316"
50,1,"155","0.62"
