"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"158","0.158"
2,1,"888","0.888"
3,1,"897","0.897"
4,1,"530","0.53"
5,1,"394","0.394"
6,1,"890","0.89"
7,1,"233","0.233"
8,1,"582","0.582"
9,1,"169","0.169"
10,1,"667","0.667"
11,1,"777","0.777"
12,1,"446","0.446"
13,1,"210","0.21"
14,1,"929","0.929"
15,1,"636","0.636"
16,1,"791","0.791"
17,1,"486","0.486"
18,1,"197","0.197"
19,1,"803","0.803"
20,1,"233","0.233"
21,1,"640","0.64"
22,1,"822","0.822"
23,1,"596","0.596"
24,1,"580","0.58"
25,1,"445","0.445"
26,1,"498","0.498"
27,1,"433","0.433"
28,1,"479","0.479"
29,1,"138","0.138"
30,1,"349","0.349"
31,1,"605","0.605"
32,1,"520","0.52"
33,1,"359","0.359"
34,1,"147","0.147"
35,1,"416","0.416"
36,1,"120","0.12"
37,1,"921","0.921"
38,1,"284","0.284"
39,1,"513","0.513"
40,1,"863","0.863"
41,1,"186","0.186"
42,1,"852","0.852"
43,1,"627","0.627"
44,1,"168","0.168"
45,1,"809","0.809"
46,1,"423","0.423"
47,1,"528","0.528"
48,1,"236","0.236"
49,1,"229","0.229"
50,1,"472","0.472"
