"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"190","0.76"
2,1,"62","0.248"
3,1,"195","0.78"
4,1,"200","0.8"
5,1,"184","0.736"
6,1,"73","0.292"
7,1,"65","0.26"
8,1,"200","0.8"
9,1,"167","0.668"
10,1,"139","0.556"
11,1,"194","0.776"
12,1,"163","0.652"
13,1,"197","0.788"
14,1,"111","0.444"
15,1,"104","0.416"
16,1,"63","0.252"
17,1,"174","0.696"
18,1,"121","0.484"
19,1,"95","0.38"
20,1,"101","0.404"
21,1,"162","0.648"
22,1,"125","0.5"
23,1,"162","0.648"
24,1,"104","0.416"
25,1,"168","0.672"
26,1,"64","0.256"
27,1,"72","0.288"
28,1,"196","0.784"
29,1,"111","0.444"
30,1,"170","0.68"
31,1,"144","0.576"
32,1,"154","0.616"
33,1,"93","0.372"
34,1,"197","0.788"
35,1,"80","0.32"
36,1,"189","0.756"
37,1,"131","0.524"
38,1,"162","0.648"
39,1,"192","0.768"
40,1,"100","0.4"
41,1,"178","0.712"
42,1,"94","0.376"
43,1,"98","0.392"
44,1,"123","0.492"
45,1,"83","0.332"
46,1,"60","0.24"
47,1,"140","0.56"
48,1,"77","0.308"
49,1,"59","0.236"
50,1,"139","0.556"
