simulation,permutation,lambda_pairs,threshold,predicted_changepoints
19,1,"11.40175425099138,0.26001328826020353;11.704699910719626,0.25328352177742874;11.0,0.2695097831577293;11.357816691600547,0.26101914612932964;11.0,0.2695097831577293;11.0,0.2695097831577293;11.313708498984761,0.26203676849205126;11.61895003862225,0.25515279822018744;11.0,0.2695097831577293;11.180339887498949,0.2651625661264407",0.502606872194246,188
5,1,"11.0,0.2695097831577293;10.862780491200215,0.2729142522153153;11.269427669584644,0.26306638647997005;10.908712114635714,0.2717651344705985;11.180339887498949,0.2651625661264407;11.575836902790225,0.2561030912607655;11.135528725660043,0.2662296230176802;11.135528725660043,0.2662296230176802;11.269427669584644,0.26306638647997005;11.135528725660043,0.2662296230176802",0.28256478350700764,185
12,1,"10.392304845413264,0.2852695007348132;10.535653752852738,0.28138810217944904;10.14889156509222,0.29211146810672267;10.246950765959598,0.2893160787483685;10.583005244258363,0.2801290886956162;10.954451150103322,0.27063041079032607;10.770329614269007,0.2752569067902415;10.583005244258363,0.2801290886956162;10.099504938362077,0.29353989456198215;10.392304845413264,0.2852695007348132",0.3719621774862595,142
1,1,"9.9498743710662,0.29795427602141106;10.44030650891055,0.2839579098759985;10.246950765959598,0.2893160787483685;9.899494936611665,0.29947059256234426;10.535653752852738,0.28138810217944904;10.862780491200215,0.2729142522153153;10.677078252031311,0.2776609428867871;9.899494936611665,0.29947059256234426;10.583005244258363,0.2801290886956162;10.488088481701515,0.2826642452442454",0.287303108351313,108;141;184
27,1,"10.295630140987,0.2879481463628818;10.344080432788601,0.2865994356866975;10.770329614269007,0.2752569067902415;10.770329614269007,0.2752569067902415;10.392304845413264,0.2852695007348132;10.295630140987,0.2879481463628818;10.677078252031311,0.2776609428867871;10.63014581273465,0.2788868249750155;10.677078252031311,0.2776609428867871;10.63014581273465,0.2788868249750155",0.3869043277824826,175
34,1,"10.246950765959598,0.2893160787483685;10.44030650891055,0.2839579098759985;10.198039027185569,0.2907036938015315;10.344080432788601,0.2865994356866975;10.04987562112089,0.29498948310410744;10.954451150103322,0.27063041079032607;10.0,0.2964607614735022;9.38083151964686,0.3160282335874022;10.392304845413264,0.2852695007348132;10.44030650891055,0.2839579098759985",0.21647340088639522,113;149;183
20,1,"11.704699910719626,0.25328352177742874;11.958260743101398,0.2479129430628342;11.832159566199232,0.2505550739193863;11.958260743101398,0.2479129430628342;12.041594578792296,0.24619726194372138;12.083045973594572,0.24535267193501248;11.74734012447073,0.25236415931803036;12.041594578792296,0.24619726194372138;12.0,0.24705063456125184;12.083045973594572,0.24535267193501248",0.239992387693,167
23,1,"11.224972160321824,0.26410823763237073;10.908712114635714,0.2717651344705985;11.61895003862225,0.25515279822018744;11.489125293076057,0.2580359722007426;11.090536506409418,0.26730966649104154;11.357816691600547,0.26101914612932964;11.269427669584644,0.26306638647997005;11.269427669584644,0.26306638647997005;11.357816691600547,0.26101914612932964;11.704699910719626,0.25328352177742874",0.1430920610790678,52
46,1,"11.61895003862225,0.25515279822018744;11.445523142259598,0.2590189699402192;12.041594578792296,0.24619726194372138;11.135528725660043,0.2662296230176802;11.575836902790225,0.2561030912607655;11.40175425099138,0.26001328826020353;11.269427669584644,0.26306638647997005;12.206555615733702,0.2428701189804744;11.224972160321824,0.26410823763237073;11.445523142259598,0.2590189699402192",0.4493491220182955,143
28,1,"11.045361017187261,0.2684029621233666;11.0,0.2695097831577293;10.677078252031311,0.2776609428867871;11.090536506409418,0.26730966649104154;11.0,0.2695097831577293;10.344080432788601,0.2865994356866975;11.0,0.2695097831577293;10.535653752852738,0.28138810217944904;11.532562594670797,0.2570640818463859;11.045361017187261,0.2684029621233666",0.5429742545028862,198
