"simulation","permutation","changepoint_indices","changepoint_proportions"
1,1,"104","0.416"
2,1,"72","0.288"
3,1,"98","0.392"
4,1,"200","0.8"
5,1,"184","0.736"
6,1,"186","0.744"
7,1,"110","0.44"
8,1,"165","0.66"
9,1,"51","0.204"
10,1,"149","0.596"
11,1,"165","0.66"
12,1,"141","0.564"
13,1,"78","0.312"
14,1,"107","0.428"
15,1,"197","0.788"
16,1,"130","0.52"
17,1,"121","0.484"
18,1,"54","0.216"
19,1,"189","0.756"
20,1,"168","0.672"
21,1,"140","0.56"
22,1,"180","0.72"
23,1,"50","0.2"
24,1,"117","0.468"
25,1,"127","0.508"
26,1,"72","0.288"
27,1,"181","0.724"
28,1,"196","0.784"
29,1,"60","0.24"
30,1,"79","0.316"
31,1,"57","0.228"
32,1,"166","0.664"
33,1,"130","0.52"
34,1,"160","0.64"
35,1,"103","0.412"
36,1,"142","0.568"
37,1,"191","0.764"
38,1,"96","0.384"
39,1,"153","0.612"
40,1,"92","0.368"
41,1,"60","0.24"
42,1,"175","0.7"
43,1,"51","0.204"
44,1,"102","0.408"
45,1,"115","0.46"
46,1,"143","0.572"
47,1,"104","0.416"
48,1,"164","0.656"
49,1,"143","0.572"
50,1,"59","0.236"
